parent,child,hits,score,score.1
ABRAMIS,BALLERUS,1,8.96,8.96
ABRAMIS,BJOERKNA,8,11.5,11.5
ABRAMIS,BRAMA,54,13.81,13.81
ABRAMIS,HRAMA,1,8.98,8.98
ACANTHOPAGRUS,BUTCHERI,3,13.77,13.77
ACANTHOPAGRUS,SCHLEGELI,1,12.68,12.68
ACANTHURUS,TRIOSTEGUS,1,13.99,13.99
ACARI,TETRANYCHIDAE,1,13.99,13.99
ACARINA,CLADOCERA,1,12.19,12.19
ACERINA,CERNUA,1,11.09,11.09
ACID,ALBULA,1,12.19,12.19
ACID,COREGONUS,1,12.19,12.19
ACIPENSER,BAERII,1,11.3,11.3
ACIPENSER,FULVESCENS,3,12.68,12.68
ACIPENSER,RUTHENUS,2,12.19,12.19
ACIPENSER,STURIO,1,11.3,11.3
ACIPENSER,TRANSMONTANUS,5,13.23,13.23
ACTINOPTERYGII,CYPRINODONTIFORMES,1,13.41,13.41
ACTINOPTERYGII,OSTEOGLOSSIDAE,1,12.41,12.41
ACULEATUS,LINNAEUS,5,10.16,10.16
ACULEATUS,PUNGITIUS,1,8.87,8.87
ACULEATUS,STICKLEBACK,1,10.54,10.54
ADULT,HOYI,1,12.68,12.68
AESHNA,ACULEATUS,1,8.05,8.05
AGRARIA,MOLINA,1,13.99,13.99
ALBULA,RUTILUS,1,7.25,7.25
ALBURNUS,ALBURNUS,28,13.9,13.9
ALNUS,GLUTINOSA,4,13.99,13.99
ALONELLA,NANA,1,12.68,12.68
ALOSA,ALOSA,13,12.65,12.65
ALOSA,CHRYSOCHLORIS,1,9.24,9.24
ALOSA,FALLAX,4,11.14,11.14
ALOSA,PSEUDOHARENGUS,13,12.65,12.65
ALOSA,PSUEDOHARENGUS,2,10.19,10.19
ALOSA,SAPIDISSIMA,18,11.095,11.095
ALOSA,SAPISISSIMA,1,9.24,9.24
ALOSA,SPECIE,1,4.58,4.58
ALPINUS,LINNEAUS,2,12.29,12.29
ALUTACEUS,BALTEATUS,1,11.19,11.19
AMARUS,BRAMA,1,9.09,9.09
AMBIGUA,PERCICHTHYIDAE,1,12.41,12.41
AMBLOPLITES,RUPESTRIS,15,13.66,13.66
AMBLOPLITES,RUSPESTRIS,1,10.91,10.91
AMEIURUS,AURATUS,1,9.67,9.67
AMEIURUS,NATALIS,1,11.67,11.67
AMEIURUS,NEBULOSUS,5,13.62,13.62
AMEIURUS,PERCA,1,10.91,10.91
AMIEURUS,NATALIS,1,13.41,13.41
AMNIATABA,PERCOIDES,2,13.99,13.99
AMPHILIUS,LONGIROSTRIS,1,13,13
AMPHIPODA,EPHEMEROPTERA,1,11.3,11.3
AMPHIPODA,GASTROPODA,1,11.83,11.83
AMPHIPODA,HEMIPTERA,2,11.83,11.83
AMPHIPODA,TRICHOPTERA,2,11.35,11.35
ANCISTRUS,RINELORICARIA,1,13.99,13.99
ANGUILLA,ANGUILLA,52,12.66,12.66
ANGUILLA,AUSTRALIS,10,10.67,10.67
ANGUILLA,DIEFFENBACHIA,1,7.49,7.49
ANGUILLA,DIEFFENBACHII,26,11.97,11.97
ANGUILLA,EEL,4,9.845,9.845
ANGUILLA,JAPONICA,50,12.59,12.59
ANGUILLA,LARVA,4,7.105,7.105
ANGUILLA,MARMORATA,4,9.47,9.47
ANGUILLA,REINHARDTII,1,7.49,7.49
ANGUILLA,ROSTRATA,32,12.14,12.14
ANGUILLA,VULGARIS,1,7.47,7.47
ANGUILLIDAE,CENTRARCHIDAE,1,12.68,12.68
ANIMAL,ESOX,1,10.24,10.24
ANIMAL,LONTRA,1,11,11
ANIMAL,OECOLOGIA,2,13,13
ANIMAL,SANDER,1,10.35,10.35
ANIMAL,VITREUS,1,10.47,10.47
ANNALES,FENNICA,1,13.99,13.99
ANNULARIS,ETHEOSTOMA,1,12.41,12.41
ANOLIS,SAGREI,2,13.99,13.99
ANOMALUM,ATROMACULATUS,1,9.91,9.91
ANURA,OCULATUS,1,11.41,11.41
APHREDODERUS,SAYANUS,1,13.41,13.41
APLODINOTUS,GRUNNIENS,6,13.77,13.77
APOLLONIA,MELANOSTOMA,1,13.41,13.41
APOLLONIA,MELANOSTOMUS,1,8.4,8.4
ARACHNIDA,HEMIPTERA,1,11.3,11.3
ARACHNIDAE,COLLEMBOLA,1,13,13
ARAPAIMA,GIGAS,14,13.94,13.94
ARDEA,CINERA,2,13,13
ARDEA,CINEREA,4,13.67,13.67
ARDEA,ESOX,1,11,11
ARDEA,LUCIUS,1,11.09,11.09
ARDEA,TROUT,1,8.08,8.08
ARUNDINACEA,LINNAEUS,1,7.9,7.9
ASOTUS,LINNAEUS,1,7.9,7.9
ASPECTOS,REPRODUCTIVOS,1,13.99,13.99
ASPIUS,ASPIUS,7,13.9,13.9
ASTROBLEPUS,UBIDIAI,1,13.99,13.99
ASTYANAX,BIMACULATUS,1,10.82,10.82
ASTYANAX,CICHLA,1,10.82,10.82
ASTYANAX,FASCIATUS,1,9.95,9.95
ASTYANAX,INTERMEDIUS,11,13.45,13.45
ASTYANAX,MEXICANUS,1,10.82,10.82
ASTYANAX,SPECIE,2,5.61,5.61
ATHERINA,BOYERI,1,13.99,13.99
ATHERINIDAE,ATHERINOPSIDAE,1,13.41,13.41
ATHERINIDAE,SPECIE,1,4.63,4.63
ATRACTOSTEUS,SPATULA,6,13.99,13.99
ATRATULUS,CATARACTAE,1,10.91,10.91
AURATA,LINNAEUS,1,7.9,7.9
AURATUS,SPARIDAE,1,12.68,12.68
AUSTRALIS,LARVA,1,6.38,6.38
AWAOS,MELANOCEPHALUS,1,13.41,13.41
BAETIDAE,HEPTAGENIIDAE,1,13.41,13.41
BAETIDAE,SIPHLONURIDAE,1,13.41,13.41
BAILEYI,NOTROPIS,1,13,13
BALLERUS,BALLERUS,1,13.41,13.41
BARBATULA,BARBATULA,16,13.95,13.95
BARBATULA,LINNAEUS,2,7.82,7.82
BARBUS,BARBUS,59,13.61,13.61
BARBUS,BOCAGEI,4,10.41,10.41
BARBUS,BRAZZAI,1,8.46,8.46
BARBUS,CAMPTACANTHUS,1,8.46,8.46
BARBUS,COMIZA,1,8.46,8.46
BARBUS,HAASI,6,10.95,10.95
BARBUS,MICROCEPHALUS,3,10.01,10.01
BARBUS,PETENYI,5,10.72,10.72
BARBUS,SCLATERI,12,11.87,11.87
BARBUS,SPECIES,1,10.6,10.6
BARHUS,BARBUS,1,9.02,9.02
BATRACHIUM,MYRIOPHYLLUM,1,13.99,13.99
BETULA,NANA,1,13,13
BFICCA,BJOERKNA,1,10.19,10.19
BIPUNCTATUS,BARBUS,1,9.02,9.02
BIVALVIA,CLADOCERA,1,11.67,11.67
BIVALVIA,MYTILIDAE,2,13.41,13.41
BIVALVIA,VENEROIDA,1,12.68,12.68
BJOERKNA,ERYTHROPHTHALMUS,1,9.75,9.75
BJOERKNA,FLUVIATILIS,1,6.51,6.51
BLICCA,BJOERKNA,14,13.48,13.48
BOSMINA,COREGONI,1,12.68,12.68
BOSMINA,INSECT,1,11.83,11.83
BOSMINA,LONGISPINA,3,13.58,13.58
BOSMINA,STICKLEBACK,1,11.41,11.41
BOSMINA,TRICHOPTERA,1,11.67,11.67
BRACHYMYSTAX,HUCHO,1,13.99,13.99
BRACHYRHAPHIS,RHABDOPHORA,1,13.41,13.41
BRAMA,ALBURNUS,1,9.83,9.83
BRAMA,BARBUS,1,8.96,8.96
BRAMA,BJOERKNA,1,10.09,10.09
BRAMA,RUTILUS,1,7.23,7.23
BREVOORTIA,TYRANNUS,2,13.99,13.99
BRUNNEUS,SPECIE,1,4.63,4.63
BRYCONAMERICUS,IHERINGI,1,12.68,12.68
BRYCONAMERICUS,IHERINGII,1,12.68,12.68
BRYCONAMERICUS,STRAMINEUS,2,12.19,12.19
BYTHOTREPHES,LONGIMANUS,8,13.83,13.83
CAENIDAE,BAETIDAE,2,13.67,13.67
CAENIDAE,DAPHNIDAE,1,13,13
CAIOLA,CALLES,1,13.99,13.99
CALANOIDA,CLADOCERA,1,12.19,12.19
CALLITRICHE,BATRACHIUM,1,13.99,13.99
CAMELLIA,JAPONICA,1,8.57,8.57
CAMPOSTOMA,ANOMALUM,16,13.99,13.99
CANADENSIS,ESOX,1,10.91,10.91
CANADENSIS,SANDER,1,11.09,11.09
CANADENSIS,VITREUS,1,11.3,11.3
CARASSIUS,AURATUS,24,13.11,13.11
CARASSIUS,CARASSIUS,22,13.14,13.14
CARASSIUS,CUVIERI,1,9.12,9.12
CARASSIUS,CYPRINIDAE,1,8.85,8.85
CARASSIUS,GIBELIO,9,12.12,12.12
CARP,CYPRINUS,1,12.68,12.68
CARPIODES,CYPRINUS,4,13.83,13.83
CARPIODES,VELIFER,1,12.41,12.41
CATARINA,CORREIA,1,13.99,13.99
CATONOTUS,ETHEOSTOMA,1,13,13
CATOSTOMIDAE,MORONIDAE,1,13.41,13.41
CATOSTOMIDAE,TELEOSTEI,1,11.99,11.99
CATOSTOMUS,CATOSTOMUS,10,12.54,12.54
CATOSTOMUS,CLARKII,3,10.6,10.6
CATOSTOMUS,COGNATUS,1,10.47,10.47
CATOSTOMUS,COMMERSONI,10,12.57,12.57
CATOSTOMUS,COMMERSONII,10,12.54,12.54
CATOSTOMUS,DICOBOLUS,1,9.5,9.5
CATOSTOMUS,DISCOBOLUS,3,11.03,11.03
CATOSTOMUS,INSIGNIS,1,9.5,9.5
CATOSTOMUS,LATIPINNIS,3,11.03,11.03
CATOSTOMUS,MACROCHEILUS,3,11.03,11.03
CENTRARCHIDAE,GIBBOSUS,2,9.89,9.89
CEPEDIANUM,BERYLLINA,1,11.99,11.99
CEPHALUS,LINNAEUS,1,7.89,7.89
CEPHALUS,RUTILUS,1,7.24,7.24
CERATOPHYLLUM,DEMERSUM,2,13.41,13.41
CERATOPHYLLUM,FONTINALIS,1,13,13
CERATOPOGONIDAE,LARVA,1,6.38,6.38
CERATOPOGONIDAE,TABANIDAE,1,13.41,13.41
CERIODAPHNIA,QUADRANGULA,1,13.41,13.41
CERIODAPHNIA,ROTIFERA,1,12.68,12.68
CERNUA,LUCIOPERCA,1,8.75,8.75
CERNUUS,ASPIUS,1,11.67,11.67
CERNUUS,MORHUA,1,9.95,9.95
CERVUS,ELAPHUS,1,13.99,13.99
CERYLE,ALCYON,1,13.99,13.99
CHAOBORUS,FLAVICANS,1,13.41,13.41
CHAOBORUS,LARVA,1,6.38,6.38
CHARACIDAE,CICHLIDAE,1,11.99,11.99
CHARACIDAE,OSTARIOPHYSI,1,12.41,12.41
CHARACIDAE,TETRAGONOPTERINAE,3,13.58,13.58
CHARACIDIUM,TRICHOMYCTERUS,1,13.99,13.99
CHARACIFORMES,CHARACIDAE,1,12.68,12.68
CHEIMARRICHTHYS,FOSTERI,2,13.99,13.99
CHIRONOMID,DIET,2,12.415,12.415
CHIRONOMID,FISH,1,8.73,8.73
CHIRONOMID,IMPORTANCE,1,13,13
CHIRONOMID,INSECT,1,13.41,13.41
CHIRONOMID,LARVA,6,8.96,8.96
CHIRONOMIDAE,DIPTERA,1,9.91,9.91
CHIRONOMIDAE,LARVA,18,10.47,10.47
CHIRONOMIDAE,MOLLUSCA,1,10.24,10.24
CHIRONOMIDAE,ODONATA,2,11,11
CHIRONOMIDAE,SIMULIIDAE,1,10.19,10.19
CHIRONOMIDAE,TRICHOPTERA,1,9.57,9.57
CHIRONOMUS,RIPARIUS,1,13.99,13.99
CHONDROSTOMA,ALMACAI,1,9.87,9.87
CHONDROSTOMA,NASUS,21,13.24,13.24
CHONDROSTOMA,POLYLEPIS,5,12.07,12.07
CHONDROSTOMA,TOXOSTOMA,3,11.5,11.5
CHONDROSTOMA,WILLKOMMI,1,10,10
CHROSOMUS,ERYTHROGASTER,6,13.77,13.77
CHROSOMUS,NEOGAEUS,1,11.19,11.19
CHUB,ATROMACULATUS,11,11.28,11.28
CHUB,BIGUTTATUS,1,8.13,8.13
CHUB,GRACILIS,1,8.13,8.13
CHUB,MICROPOGON,4,10.08,10.08
CHUB,PLUMBEUS,3,9.67,9.67
CHYDORIDAE,ROTIFERA,1,13,13
CICHLA,SPECIE,4,6.63,6.63
CICHLIDAE,FACETUM,1,11.99,11.99
CICHLIDAE,LORICARIIDAE,1,12.19,12.19
CICHLIDAE,MONODACTYLIDAE,1,12.19,12.19
CICHLIDAE,SPECIE,1,4.63,4.63
CINERA,ESOX,1,11,11
CLADOCERA,AFFINIS,1,9.24,9.24
CLADOCERA,CHIRONOMIDAE,1,11.3,11.3
CLADOCERA,COPEPODA,5,12.73,12.73
CLADOCERA,DAPHNIA,1,13.99,13.99
CLADOCERA,LARVA,1,6.35,6.35
CLADOCERA,OSTRACODA,1,11,11
CLARIAS,CAMERUNENSIS,1,11.54,11.54
CLARIAS,GARIEPINUS,5,13.51,13.51
CLARIAS,JAENSIS,1,11.54,11.54
CLARIAS,PACHYNEMA,1,11.54,11.54
CLARIAS,PLATYCEPHALUS,1,11.54,11.54
CLETHRIONOMYS,RUTILUS,1,7.25,7.25
CLINOSTOMUS,FUNDULOIDES,1,13.99,13.99
CLUPEA,HARENGUS,6,13.88,13.88
CLUPEA,WHITEFISH,1,10.75,10.75
CLUPEIDAE,CEPEDIANUM,2,11.47,11.47
CLUPEIDAE,CYPRINIDAE,1,10.82,10.82
CLUPEIDAE,PSUEDOHARENGUS,1,12.19,12.19
COBITIDAE,TAENIA,1,11.83,11.83
COBITIS,GLANIS,1,10.09,10.09
COBITIS,PALUDICA,8,13.3,13.3
COBITIS,TAENIA,7,13.16,13.16
COBITIS,TRUTTA,1,5.1,5.1
COLEOPTERA,ARACHNIDA,1,10.82,10.82
COLEOPTERA,CERAMBYCIDAE,1,10.82,10.82
COLEOPTERA,COLEOPTERA,1,10.68,10.68
COLEOPTERA,COPEPODA,4,11.99,11.99
COLEOPTERA,DIPTERA,2,11.24,11.24
COLEOPTERA,DYTISCIDAE,1,10.82,10.82
COLEOPTERA,HEMIPTERA,4,12.14,12.14
COLEOPTERA,HYMENOPTERA,1,10.54,10.54
COLEOPTERA,LARVA,1,6.33,6.33
COLEOPTERA,ODONATA,1,10.35,10.35
COLLEMBOLA,COPEPODA,4,12.68,12.68
COLLEMBOLA,HYMENOPTERA,1,11.67,11.67
COMMERSONII,PERCA,1,11.54,11.54
COMO,CONSECUENCIA,2,13.99,13.99
CONFLUENTUS,CARPIODES,1,12.19,12.19
CONFLUENTUS,CYPRINUS,1,12.19,12.19
COPEPODA,ACARINA,1,12.68,12.68
COPEPODA,LARVA,1,6.38,6.38
COPEPODA,OSTRACODA,2,12.54,12.54
COREGNUS,NASUS,1,9.64,9.64
COREGONUS,ALBULA,94,12.99,12.99
COREGONUS,ARTEDI,10,10.11,10.11
COREGONUS,ARTEDII,5,9.15,9.15
COREGONUS,CLUPEAFORMIS,17,10.84,10.84
COREGONUS,CLUPEAFORMISS,1,6.85,6.85
COREGONUS,FONTANAE,3,8.42,8.42
COREGONUS,HOYI,8,9.8,9.8
COREGONUS,IUVURETUS,1,6.85,6.85
COREGONUS,KIYI,1,6.85,6.85
COREGONUS,LARVA,1,5.6,5.6
COREGONUS,LAVA,1,6.85,6.85
COREGONUS,LAVAREFUS,1,6.85,6.85
COREGONUS,LAVARETUS,95,12.91,12.91
COREGONUS,LAVERETUS,1,6.85,6.85
COREGONUS,LUVURETUS,1,6.85,6.85
COREGONUS,NASUS,13,10.36,10.36
COREGONUS,PIDSCHIAN,6,9.39,9.39
COREGONUS,PUSILLUS,2,7.83,7.83
COREGONUS,SARDINELLA,11,10.26,10.26
COREGONUS,SPECIE,2,5.35,5.35
COREGONUS,ZAVARETUS,2,7.84,7.84
COREGONUS,ZENI,1,6.85,6.85
COREGONUS,ZENITHICUS,6,9.41,9.41
CORIXIDAE,TRICHOPTERA,1,10.68,10.68
CORNUTUS,PERCINA,1,11.99,11.99
COTTUS,ASPER,3,9.11,9.11
COTTUS,ASPERRIMUS,1,7.56,7.56
COTTUS,BAIRDI,17,11.51,11.51
COTTUS,BAIRDII,9,10.66,10.66
COTTUS,CAROLINAE,8,10.48,10.48
COTTUS,COGNATUS,20,11.71,11.71
COTTUS,FISH,2,8.08,8.08
COTTUS,GOBIO,73,13.06,13.06
COTTUS,GULOSUS,2,8.53,8.53
COTTUS,HAIRDI,1,7.56,7.56
COTTUS,HANGEONGENSIS,1,7.56,7.56
COTTUS,HANGIONGENSIS,5,9.84,9.84
COTTUS,HYPSELURUS,3,9.12,9.12
COTTUS,LINNAEUS,2,7.72,7.72
COTTUS,NOZAWAE,2,8.54,8.54
COTTUS,PAULUS,6,10.1,10.1
COTTUS,PERIFRETUM,1,7.56,7.56
COTTUS,PJIGMAEUS,1,7.56,7.56
COTTUS,POECILOPUS,2,8.54,8.54
COTTUS,POLLUS,1,7.56,7.56
COTTUS,POLLUX,2,8.54,8.54
COTTUS,PYGMAEUS,3,9.12,9.12
COTTUS,RICEI,1,7.56,7.56
COTTUS,SPECIE,4,6.45,6.45
COTTUS,SPECIES,3,8.19,8.19
COTYLOPUS,ACUTIPINNIS,6,13.88,13.88
COUESIUS,PLUMBEUS,5,13.62,13.62
CRANGON,SEPTEMSPINOSA,1,13.41,13.41
CRATEROCEPHALUS,FLUVIATILIS,6,9.04,9.04
CRUSTACEA,CYMOTHOIDAE,1,13.99,13.99
CRYPTOMERIA,JAPONICA,3,10.12,10.12
CTENOPHARYNGODON,IDELLUS,1,13.99,13.99
CULAEA,INCON,2,13.99,13.99
CURTONOTUM,HEMIPTERA,1,11.3,11.3
CURUSSIUS,CARASSIUS,1,10.41,10.41
CYCLEPTUS,ELONGATUS,2,13.41,13.41
CYNOSCION,REGALIA,1,13.99,13.99
CYPRINELLA,CAERULEA,6,11.91,11.91
CYPRINELLA,GALACTURA,2,10.44,10.44
CYPRINELLA,HYBOPSIS,1,9.41,9.41
CYPRINELLA,LUTRENSIS,9,12.33,12.33
CYPRINELLA,PIMEPHALES,2,10.3,10.3
CYPRINELLA,SPILOPTERA,1,9.48,9.48
CYPRINELLA,VENUSTA,24,13.47,13.47
CYPRINIDAE,BRAMA,1,8.93,8.93
CYPRINIDAE,FUNDULIDAE,1,11.83,11.83
CYPRINIDAE,PERCIDAE,1,11.19,11.19
CYPRINIDAE,POECILIIDAE,1,11.54,11.54
CYPRINIDAE,SALMONIDAE,1,10.54,10.54
CYPRINIDAE,SPECIE,1,4.62,4.62
CYPRINIDAE,TELEOSTEI,1,11.19,11.19
CYPRINIDAE,UMBRIDAE,1,11.41,11.41
CYPRINIFORMES,CATOSTOMIDAE,1,13,13
CYPRINIFORMES,CYPRINIDAE,1,11,11
CYPRINODON,MACULARIUS,3,12.77,12.77
CYPRINODON,NEVADENSIS,1,11.41,11.41
CYPRINODON,PECOSENSIS,1,11.41,11.41
CYPRINODON,RUBROFLUVIATILIS,3,12.77,12.77
CYPRINODON,TULAROSA,3,12.77,12.77
CYPRINUS,CARPIO,2,13.19,13.19
CYPRINUS,LINNAEUS,3,9.44,9.44
DAPHIA,PULEX,1,11.3,11.3
DAPHNIA,CRISTATA,2,11.24,11.24
DAPHNIA,DROSOPHILA,2,11.24,11.24
DAPHNIA,GALEATA,10,13.19,13.19
DAPHNIA,HYALINA,1,10.3,10.3
DAPHNIA,LUMHOLTZI,1,10.3,10.3
DAPHNIA,MAGNA,3,11.77,11.77
DAPHNIA,PULEX,5,12.11,12.11
DAPHNIA,ROTIFERA,1,10.19,10.19
DICAMPTODON,ATERRIMUS,1,13.99,13.99
DICENTRARCHUS,LABRAX,4,13.99,13.99
DIET,AMBIGUA,1,11.83,11.83
DIET,MACQUARIA,1,11.83,11.83
DILUVIANA,FISH,2,9.85,9.85
DIPTERA,CHIRONOMIDAE,1,10,10
DIPTERA,CLADOCERA,1,9.91,9.91
DIPTERA,COLLEMBOLA,1,10.04,10.04
DIPTERA,DIET,1,11.41,11.41
DIPTERA,EPHEMEROPTERA,1,9.87,9.87
DIPTERA,FIG.,1,11.83,11.83
DIPTERA,HYMENOPTERA,1,9.95,9.95
DIPTERA,LAKE,1,11.54,11.54
DIPTERA,LARVA,17,10.38,10.38
DIPTERA,LEPOMIS,1,12.41,12.41
DIPTERA,MASS,1,12.41,12.41
DIPTERA,MEGALOPTERA,1,10.09,10.09
DIPTERA,SIMULIIDAE,2,11,11
