parent,child,hits,score,score
FISH,AMEIURUS,1.0,6.83,6.83
FISH,ANGUILLA_ANGUILLA,4.0,8.81,8.81
FISH,APLODINOTUS_GRUNNIENS,1.0,6.84,6.84
FISH,ARAPAIMA_GIGAS,2.0,5.574999999999999,5.574999999999999
FISH,AWAOS_GUAMENSIS,1.0,6.83,6.83
FISH,BARBUS_BARBUS,2.0,8.76,8.76
FISH,BOTHRIOCEPHALUS_ACHEILOGNATHI,3.0,5.89,5.89
FISH,BRACHYRHAPHIS_RHABDOPHORA,1.0,4.31,4.31
FISH,BRYCONAMERICUS_STRAMINEUS,1.0,4.31,4.31
FISH,CAMPOSTOMA,1.0,6.84,6.84
FISH,CARANX_SEXFASCIATUS,1.0,6.84,6.84
FISH,CARDONA,1.0,6.83,6.83
FISH,CATOSTOMUS_COMMERSONII,1.0,6.84,6.84
FISH,CICHLASOMA_CENTRARCHUS,1.0,4.31,4.31
FISH,CICHLASOMA_NIGROFASCIATUM,1.0,4.31,4.31
FISH,CLETHRIONOMYS_RUTILUS,1.0,6.82,6.82
FISH,COLISA_LALIA,1.0,4.31,4.31
FISH,COREGONUS,2.0,7.83,7.83
FISH,COREGONUS_LAVARETUS,2.0,5.31,5.31
FISH,COREGONUS_NASUS,1.0,4.31,4.31
FISH,COREGONUS_SPP,2.0,5.31,5.31
FISH,COTTIDAE,1.0,6.83,6.83
FISH,COTTUS_CAROLINAE,1.0,4.31,4.31
FISH,COTTUS_GOBIO,2.0,5.3,5.3
FISH,COTTUS_HANGIONGENSIS,1.0,6.83,6.83
FISH,COTTUS_POLLUX,1.0,6.83,6.83
FISH,COTTUS_SPP,1.0,6.84,6.84
FISH,CRATEROCEPHALUS,3.0,5.89,5.89
FISH,CTENOPOMA_MURIEI,2.0,5.31,5.31
FISH,CYPRINIDAE,3.0,8.41,8.41
FISH,CYPRINUS,1.0,6.83,6.83
FISH,DEROGENES_VARICUS,1.0,6.84,6.84
FISH,DOROSOMA_CEPEDIANUM,1.0,10.68,10.68
FISH,ENTOSPHENUS,1.0,10.68,10.68
FISH,EPINEPHELUS_COIOIDES,1.0,4.31,4.31
FISH,ERO,2.0,12.19,12.19
FISH,ESOX_LUCIUS,5.0,8.875,8.875
FISH,ETHEOSTOMA_SIMOTERUM,2.0,12.19,12.19
FISH,FUNDULUS,1.0,4.31,4.31
FISH,FUNDULUS_NOTATUS,1.0,4.31,4.31
FISH,FUNDULUS_ZEBRINUS,1.0,4.31,4.31
FISH,GALAXIAS_AURATUS,1.0,4.31,4.31
FISH,GALAXIAS_BREVIPINNIS,1.0,4.31,4.31
FISH,GALAXIAS_MACULATUS,3.0,5.89,5.89
FISH,GAMBUSIA_AFFINIS,1.0,4.31,4.31
FISH,GAMBUSIA_HOLBROOKI,4.0,6.31,6.31
FISH,GASTEROSTEUS,1.0,6.83,6.83
FISH,GLOSSOGOBIUS_ANKARANENSIS,1.0,4.31,4.31
FISH,GOBIO_GOBIO,1.0,6.82,6.82
FISH,GYMNOGOBIUS_ISAZA,2.0,7.494999999999999,7.494999999999999
FISH,GYRODACTYLUS_SALARIS,1.0,6.84,6.84
FISH,HETERANDRIA_FORMOSA,1.0,4.31,4.31
FISH,HUCHO,1.0,6.84,6.84
FISH,HUCHO_PERRYI,2.0,5.31,5.31
FISH,HYBOGNATHUS_HANKINSONI,1.0,4.31,4.31
FISH,HYPSELEOTRIS_SPP,1.0,6.82,6.82
FISH,ICTALURUS_PUNCTATUS,2.0,5.57,5.57
FISH,KUHLIA_MARGINATA,1.0,6.84,6.84
FISH,KUHLIA_RUPESTRIS,1.0,6.84,6.84
FISH,LATES_CALCARIFER,1.0,6.84,6.84
FISH,LATES_NILOTICUS,1.0,6.82,6.82
FISH,LECITHASTER_GIBBOSUS,1.0,6.84,6.84
FISH,LEPOMIS,1.0,6.82,6.82
FISH,LEPOMIS_CYANELLUS,1.0,4.31,4.31
FISH,LEPOMIS_GIBBOSUS,3.0,6.074999999999999,6.074999999999999
FISH,LEPOMIS_MACROCHIRUS,1.0,6.82,6.82
FISH,LEUCISCUS_CEPHALUS,2.0,8.76,8.76
FISH,LINNAEUS,1.0,6.83,6.83
FISH,LOTA_LOTA,1.0,6.82,6.82
FISH,MAMIRAUA,1.0,6.83,6.83
FISH,MELIA,1.0,6.84,6.84
FISH,MENIDIA_MENIDIA,1.0,6.84,6.84
FISH,MICROCYSTIS,1.0,8.96,8.96
FISH,MICROPTERUS_SALMOIDES,3.0,8.38,8.38
FISH,MICROPTERUS_SPP,1.0,4.31,4.31
FISH,MICROTUS_OECONOMUS,1.0,6.82,6.82
FISH,MOGURNDA_ADSPERSA,1.0,4.31,4.31
FISH,MORONE_SAXATILIS,1.0,6.83,6.83
FISH,MOXOSTOMATINI,1.0,4.31,4.31
FISH,NOCOMIS,1.0,6.84,6.84
FISH,NOEMACHEILUS_BARBATULA,1.0,4.31,4.31
FISH,NOTROPIS,1.0,6.84,6.84
FISH,NOTROPIS_PETERSONI,1.0,4.31,4.31
FISH,ONCORHYNCHUS,1.0,6.82,6.82
FISH,ONCORHYNCHUS_MYKISS,1.0,6.83,6.83
FISH,ONCORHYNCHUS_NERKA,1.0,6.83,6.83
FISH,ORCONECTES_SPP,1.0,6.84,6.84
FISH,ORYZIAS_SINENSIS,1.0,4.31,4.31
FISH,OSMERUS_EPERLANUS,1.0,6.83,6.83
FISH,OSTEOGLOSSIFORMES,1.0,4.31,4.31
FISH,PERCA,2.0,7.81,7.81
FISH,PERCICHTHYS_THRUCHA,1.0,4.31,4.31
FISH,PERCICHTHYS_TRUCHA,1.0,4.31,4.31
FISH,PERCIDAE,1.0,4.31,4.31
FISH,PERCINA_CAPRODES,1.0,6.83,6.83
FISH,PERCINA_JENKINSI,1.0,4.31,4.31
FISH,PERCINA_ROANOKA,1.0,4.31,4.31
FISH,PEROMYSCUS_MANICULATUS,1.0,6.82,6.82
FISH,PETROCHROMIS_FASCIOLATUS,1.0,4.31,4.31
FISH,PETROMYZON_MARINUS,1.0,6.84,6.84
FISH,PHOXINUS_PHOXINUS,1.0,6.84,6.84
FISH,PIMELODIDAE,2.0,7.83,7.83
FISH,PIMELODUS_MACULATUS,1.0,10.68,10.68
FISH,PLECOGLOSSUS_ALTIVELIS,2.0,5.57,5.57
FISH,POECILIA_MEXICANA,1.0,4.31,4.31
FISH,POMOXIS_ANNULARIS,1.0,6.83,6.83
FISH,POMOXIS_NIGROMACULATUS,1.0,6.84,6.84
FISH,PORICHTHYS_NOTATUS,1.0,4.31,4.31
FISH,POTAMODROMOUS,1.0,8.96,8.96
FISH,PSEUDORASBORA_PARVA,1.0,4.31,4.31
FISH,PSEUDOTROPHEUS_ZEBRA,1.0,4.31,4.31
FISH,PTERODORAS_GRANULOSUS,1.0,4.31,4.31
FISH,PTYCHOCHEILUS_GRANDIS,1.0,4.31,4.31
FISH,PYLODICTIS_OLIVARIS,1.0,6.83,6.83
FISH,RHINOGOBIUS_BRUNNEUS,1.0,4.31,4.31
FISH,RHINOGOBIUS_SPP,1.0,6.84,6.84
FISH,RHODEUS_SERICEUS,4.0,6.57,6.57
FISH,RUTILUS,2.0,7.83,7.83
FISH,RUTILUS_RUTILUS,6.0,7.0249999999999995,7.0249999999999995
FISH,SALMO,2.0,7.82,7.82
FISH,SALMO_TRUTTA,3.0,8.37,8.37
FISH,SALVELINUS,1.0,6.82,6.82
FISH,SALVELINUS_ALPINUS,1.0,6.82,6.82
FISH,SALVELINUS_CONFLUENTUS,1.0,6.82,6.82
FISH,SALVELINUS_MALMA,1.0,4.31,4.31
FISH,SANDER_LUCIOPERCA,1.0,6.83,6.83
FISH,SANDER_VITREUS,2.0,7.82,7.82
FISH,SARDINOPS_SAGOX,1.0,6.84,6.84
FISH,SEBASTES_ATROVIRENS,1.0,4.31,4.31
FISH,SEBASTES_MELANOPS,1.0,4.31,4.31
FISH,SEMOTILUS,1.0,6.84,6.84
FISH,SICYOPTERUS,1.0,6.82,6.82
FISH,SICYOPTERUS_LAGOCEPHALUS,2.0,5.31,5.31
FISH,SILURUS_LITHOPHILUS,1.0,4.31,4.31
FISH,SIMOCHROMIS_PLEUROSPILU,1.0,4.31,4.31
FISH,SOREX,1.0,6.83,6.83
FISH,SQUALIUS_ALBURNOIDES,1.0,4.31,4.31
FISH,THYMALLUS_ARCTICUS,1.0,6.84,6.84
FISH,TILAPIA_NILOTICA,1.0,4.31,4.31
FISH,TREMITICHROMIS_INTERMEDIUS,1.0,4.31,4.31
FISH,TRIDENTIGER_KUROIWAE,1.0,6.84,6.84
FLORIDA,AMMOCRYPTA_BIFASCIA,1.0,13.41,13.41
FLORIDA,FISH,1.0,6.73,6.73
FOOD,BOSMINA,1.0,10.09,10.09
FOOD,EUDIAPTOMUS_GRACILOIDES,1.0,10.09,10.09
FOOD,GASTEROSTEUS,1.0,10.09,10.09
FOOD,HORPPILA,1.0,10.14,10.14
FOOD,IUTARIA,1.0,10.09,10.09
FOOD,MOGURNDA,1.0,10.14,10.14
FOOD,POMOXIS_ANNULARIS,1.0,10.09,10.09
FOOD,SILURUS_GLANIS,1.0,10.09,10.09
FOOD,TRICHOPTERA_SPP,1.0,10.09,10.09
FORMICIDAE,CICADELLIDAE,1.0,13.0,13.0
FORMICIDAE,HYMENOPTERA,1.0,12.19,12.19
FUNDULIDAE,FUNDULUS_SPP,2.0,12.83,12.83
FUNDULIDAE,ICTALURIDAE,1.0,13.0,13.0
FUNDULUS,PIMEPHALES,1.0,12.41,12.41
FUNDULUS_DIAPHANUS,FUNDULUS_SPP,2.0,13.0,13.0
FUNDULUS_HETEROCLITUS,FUNDULUS_SPP,2.0,12.83,12.83
FUNDULUS_HETEROCLITUS,LINNAEUS,1.0,8.68,8.68
FUNDULUS_JULISIA,NEOCHANNA_DIVERSUS,1.0,13.99,13.99
FUNDULUS_SPP,MICROPTERUS_SALMOIDES,1.0,11.67,11.67
GADUS_MORHUA,EGG,1.0,8.15,8.15
GALAXIAS,FISH,1.0,6.72,6.72
GALAXIAS,SPECIE,2.0,5.42,5.42
GALAXIAS_OCCIDENTALIS,GALAXIELLA_MUNDA,1.0,13.99,13.99
GALAXIIDAE,FISH,1.0,8.41,8.41
GALAXIIDAE,SPECIE,1.0,9.38,9.38
GALEOCHARAX_KNERII,HYPOSTOMUS_SPP,1.0,13.0,13.0
GAMBUSIA,DAPHNIA,2.0,11.54,11.54
GAMBUSIA,FISH,2.0,11.0,11.0
GAMBUSIA,MALE,1.0,9.48,9.48
GAMBUSIA,SPECIE,10.0,7.73,7.73
GAMBUSIA,SPECIES,4.0,9.28,9.28
GAMBUSIA_AFFINIS,MINNOW,1.0,10.3,10.3
GAMBUSIA_AFFINIS,SPECIE,1.0,4.43,4.43
GAMBUSIA_HOLBROOKI,FISH,1.0,6.73,6.73
GAMHUSIA_HOLBROOKI,LEPOMIS_MARGINATUS,1.0,13.41,13.41
GAMMARIDAE,FORMICIDAE,1.0,13.41,13.41
GAMMARUS,PREY,6.0,10.275,10.275
GASTEROSTEUS,PUNGITIUS_PUNGITIUS,1.0,13.41,13.41
GASTEROSTEUS,RANUNUCULUS_SPP,1.0,13.41,13.41
GASTEROSTEUS_ACULEATUS,LINNAEUS,5.0,10.93,10.93
GASTEROSTEUS_ACULEATUS,PYGOSTEUS_PUNGITIUS,1.0,11.99,11.99
GASTEROSTEUS_ACULEATUS,SOREX_SPP,1.0,11.67,11.67
GASTROPODA,CONCHOSTRACA,1.0,13.0,13.0
GASTROPODA,OSTRACODA,1.0,11.67,11.67
GASTROPODA,UNIONIDAE,1.0,12.41,12.41
GEOTRIA_AUSTRALIS,LARVA,1.0,6.31,6.31
GILA_ROBUSTA,CATOSTOMUS_DISCOBOLUS,1.0,13.41,13.41
GLYCERIA_FLUITANS,PHALARISS_ARUNDINACEA,1.0,13.99,13.99
GNATHOPOGON_IMBERBIS,ERYTHROCULTER_ILISHAEFORMIS,1.0,13.0,13.0
GOBIESOCIFORMES,LOPHIIFORMES,1.0,13.99,13.99
GOBIIDAE,NEOGOBIUS_MELANOSTOMUS,2.0,13.19,13.19
GOBIIDAE,PERCIDAE,1.0,11.83,11.83
GOBIOCYPRIS_RARUS,PROCYPRIS_RABAUDI,1.0,13.99,13.99
GOBIOIDEI,FISH,1.0,11.99,11.99
GOBIOIDEI,PREDATOR-PREY,1.0,12.19,12.19
GOBIOIDEI,SICYOPTERUS,1.0,11.99,11.99
GOBIOIDEI,SPECIES,2.0,11.41,11.41
GOBIO_GOBIO,RUTILUS_RUTILUS,1.0,8.96,8.96
GOBIUSCULUS_FLAVESCENS,GOBIIDAE,1.0,12.68,12.68
GYMNOCEPHALUS_CERNUUS,GADUS_MORHUA,1.0,13.0,13.0
GYMNOCEPHALUS_CERNUUS,NEOGOBIUS_MELANOSTOMUS,1.0,12.41,12.41
GYMNOGEOPHAGUS_GYMNOGENYS,GYMNOGEOPHAGUS,1.0,13.41,13.41
HAEMULIDAE,MONODACTYLIDAE,1.0,13.0,13.0
HARPACTICOIDA,UNIONIDAE,1.0,13.0,13.0
HEMICULTER_LEUCISCULUS,ERYTHROCULTER_ILISHAEFORMIS,1.0,13.0,13.0
HEMIGRAMMUS_ERYTHROZONUS,CHARACIDAE,1.0,12.68,12.68
HEMIPTERA,ARACHNIDAE,1.0,12.41,12.41
HEMIPTERA,CICADELLIDAE,1.0,12.19,12.19
HEMIPTERA,GAMMARIDAE,1.0,12.19,12.19
HEMIPTERA,HEMIPTERA,1.0,10.82,10.82
HEMIPTERA,ODONATA,1.0,11.3,11.3
HEPHAESTUS_FULIGINOSUS,LEIOPOTHERAPON_UNICOLOR,1.0,13.41,13.41
HEPTAGENIIDAE,HYDROPSYCHIDAE,1.0,13.41,13.41
HETEROPTERA,ARANEIDA,1.0,13.0,13.0
HETEROTIS,LARVA,1.0,6.31,6.31
HEXARTHRA,TRICHOCERCA,1.0,13.99,13.99
HIODONTIDAE,HIODON_SPP,1.0,13.99,13.99
HOLOPEDIUM_GIBBERUM,LEPTODORA_KINDTII,1.0,13.99,13.99
HOMOPTERA,HYDRACARINA,1.0,13.99,13.99
HUCHO,PARAHUCHO,1.0,13.41,13.41
HUCHO,SPECIE,1.0,4.43,4.43
HYALELLA_AZTECA_PREFERIDA,LEPOMIS,1.0,13.99,13.99
HYBOGNATHUS,ICTIOBUS,1.0,13.99,13.99
HYBOGNATHUS_ARGRYTUS,NOTROPIS_TOPEKA,1.0,13.99,13.99
HYBOGNATHUS_NUCHALIS,NOTROPIS_TEXANUS,1.0,13.99,13.99
HYBOPSIS,PIMEPHALES,1.0,12.41,12.41
HYBOPSIS_AMBLOPS,LUXILUS_CHRYSOCEPHALUS,1.0,13.0,13.0
HYDRACARINA,UNIONIDAE,1.0,13.0,13.0
HYDRAENIDAE,EMPIDIDAE,1.0,13.99,13.99
HYDRILLA_VERTICILLATA,POTAMOGETON_ILLINOENSIS,1.0,13.99,13.99
HYDROPSYCHIDAE,LEPTOPHLEBIDAE,1.0,13.99,13.99
HYMENOPTERA,COLEOPTERA,1.0,12.19,12.19
HYMENOPTERA,FORMICIDAE,1.0,12.41,12.41
HYMENOPTERA,HYMENOPTERA,1.0,11.83,11.83
HYMENOPTERA,ORTHOPTERA,1.0,12.68,12.68
HYPOSTOMUS_URUGUAYENSIS,PROCHILODUS_LINEATUS,1.0,13.99,13.99
ICHTHYOMYZON_BDELLIUM,CAMPOSTOMA_OLIGOLEPIS,1.0,13.41,13.41
ICTALURIDAE,AMEIURUS_SPP,2.0,13.0,13.0
ICTALURIDAE,SALMONIDAE,1.0,10.91,10.91
ICTALURUS,MICROPTERUS_SALMOIDES,1.0,13.0,13.0
ICTALURUS_FURCATUS,ICTALURUS_SPP,1.0,12.68,12.68
ICTALURUS_FURCATUS,ICTIOBUS_BUBALUS,1.0,13.41,13.41
ICTALURUS_PUNCTATUS,ICTALURUS_SPP,1.0,12.68,12.68
ICTALURUS_PUNCTATUS,PYLODICTIS_OLIVARIS,1.0,13.41,13.41
ICTIOBUS_BUBALUS,LEPISOSTEUS_SPP,1.0,13.0,13.0
ILIAMNA,FISH,2.0,7.72,7.72
INSECT,CHIRONOMIDAE,1.0,13.41,13.41
INSECT,DIPTERA,1.0,8.91,8.91
INSECT,MOLLUSCA,1.0,9.09,9.09
INSECT,TRICHOPTERA,1.0,12.19,12.19
INVERTEBRATE,AMPHIPODA,1.0,9.91,9.91
INVERTEBRATE,ARANEAE,1.0,9.95,9.95
INVERTEBRATE,CARDONA,1.0,9.91,9.91
INVERTEBRATE,CHAOBORUS,1.0,10.91,10.91
INVERTEBRATE,COLEOPTERA,2.0,10.91,10.91
INVERTEBRATE,COLLEMBOLA,1.0,13.41,13.41
INVERTEBRATE,COREGONUS_ARTEDI,1.0,9.95,9.95
INVERTEBRATE,CULICIDAE,1.0,9.95,9.95
INVERTEBRATE,DIPTERA,1.0,9.95,9.95
INVERTEBRATE,EPHEMEROPTERA,2.0,10.33,10.33
INVERTEBRATE,FORMICIDAE,1.0,9.95,9.95
INVERTEBRATE,GASTROPODA,1.0,9.95,9.95
INVERTEBRATE,MYSIS_RELICTA,1.0,9.95,9.95
INVERTEBRATE,MYSIS_SPP,1.0,9.91,9.91
INVERTEBRATE,NEOGOBIUS,1.0,9.95,9.95
INVERTEBRATE,NEOGOBIUS_MELANOSTOMUS,1.0,9.95,9.95
INVERTEBRATE,ODONATA,1.0,9.91,9.91
INVERTEBRATE,PELECYPODA,1.0,9.95,9.95
INVERTEBRATE,PLECOPTERA,1.0,13.99,13.99
INVERTEBRATE,TRICHOPTERA,1.0,9.83,9.83
INVERTEBRATE,VALLISNERIA,1.0,9.95,9.95
IOTICHTHYS_PHLEGETHONTIS,RHADINOCENTRIS_ORNATUS,1.0,13.99,13.99
ISOPODA,ONISCIDEA,1.0,13.0,13.0
ISOPODA,TURBELLARIA,1.0,13.41,13.41
KERATELLA,POLYARTHRA,1.0,13.99,13.99
KUHLIIDAE,SPECIE,1.0,4.43,4.43
LABEO_BATESII,TILAPIA_THOLLONI,1.0,13.99,13.99
LABRATREMA,MINIMUS,1.0,13.99,13.99
LAGAROSIPHON,SPECIE,1.0,10.91,10.91
LAMPETRA,CAMPOSTOMA_OLIGOLEPIS,1.0,13.0,13.0
LAMPETRA,SPECIE,1.0,4.43,4.43
LAMPETRA_SPP,LARVA,1.0,6.31,6.31
LARVA,BOSMINIDAE,1.0,10.04,10.04
LARVA,CHIRONOMUS_PLUMOSUS,1.0,13.0,13.0
LARVA,COLLEMBOLA,1.0,9.95,9.95
LARVA,COPEPODA,2.0,10.47,10.47
LARVA,CRANGON_SEPTEMSPINOSA,1.0,10.04,10.04
LARVA,GASTROPODA,1.0,9.95,9.95
LARVA,HYDRAENIDAE,1.0,10.04,10.04
LARVA,MACROBRANCHIUM,1.0,10.0,10.0
LARVA,MORONE_SAXATILIS,1.0,10.0,10.0
LARVA,NEMATODA,1.0,10.04,10.04
LARVA,OSTRACODA,2.0,10.79,10.79
LARVA,TUBIFICIDAE,1.0,10.04,10.04
LATINA,LATIUM,1.0,13.99,13.99
LEPIDOPTERA,LEPIDOPTERA,1.0,12.68,12.68
LEPIDOSTOMATIDAE,PHRYGANEIDAE,1.0,13.0,13.0
LEPISOSTEIDAE,LEPISOSTEUS_SPP,1.0,13.0,13.0
LEPISOSTEUS_OCULATUS,LEPISOSTEUS_OSSEUS,1.0,13.99,13.99
LEPISOSTEUS_OSSEUS,CATCH,1.0,13.99,13.99
LEPOMIS,LINNAEUS,1.0,8.68,8.68
LEPOMIS,SPECIE,2.0,5.42,5.42
LEPOMIS_AURITUS,LINNAEUS,1.0,8.71,8.71
LEPOMIS_CYANELLUS,MICROPTERUS_SALMOIDES,1.0,13.0,13.0
LEPOMIS_GIBBOSUS,LEPOMIS_SPP,2.0,11.99,11.99
LEPOMIS_GIBBOSUS,LINNAEUS,2.0,9.62,9.62
LEPOMIS_GIBBOSUS,PSEUDORASBORA_PARVA,1.0,11.99,11.99
LEPOMIS_GIBBOSUS,RUTILUS_RUTILUS,1.0,8.85,8.85
LEPOMIS_GULOSUS,LEPOMIS_SPP,1.0,11.54,11.54
LEPOMIS_HUMILIS,LEPOMIS_SPP,1.0,11.54,11.54
LEPOMIS_MACROCHIRUS,LEPOMIS_MACROCHIRUS,1.0,10.91,10.91
LEPOMIS_MACROCHIRUS,LEPOMIS_SPP,2.0,12.29,12.29
LEPOMIS_MEGALOTIS,LEPOMIS_SPP,1.0,11.54,11.54
LEPOMIS_SPP,MICROPTERUS_SALMOIDES,1.0,11.67,11.67
LEPTODORA_KINDTII,BYTHOTREPHES_LONGIMANUS,1.0,13.41,13.41
LEPTODORA_KINDTII,POLYPHEMUS_PEDICULUS,1.0,13.41,13.41
LEPTOPHLEBIDAE,LIMNEPHILIDAE,1.0,13.99,13.99
LESINA,EEL,1.0,9.64,9.64
LETHENTERON_CAMTSCHATICUM,ONCORHYNCHUS_KETA,1.0,12.41,12.41
LETHENTERON_REISSNERI,LARVA,1.0,6.31,6.31
LEUCISCUS_PYRENAICUS,TROPIDOPHOXINELLUS_ALBURNOIDES,1.0,13.41,13.41
LIE-IN-WAIT,CRYSTALLARIA_ASPRELLA,1.0,13.99,13.99
LIGIA_ITALICA,FABRICIUS,1.0,13.99,13.99
LIMNEPHILIDAE,ONDONTOCERIDAE,1.0,13.41,13.41
LIMNEPHILIDAE,PHRYGANEIDAE,1.0,12.68,12.68
LIMNOCALANUS_MACRURUS,EUDIAPTOMUS_SPP,1.0,13.99,13.99
LIMNOLOGIA,BRASILIA,1.0,13.41,13.41
LINNAEUS,GAMBUSIA_AFFINIS,1.0,11.67,11.67
LINNAEUS,GOBIO_GOBIO,1.0,11.99,11.99
LINNAEUS,ONCORHYNCHUS_MYKISS,1.0,9.71,9.71
LINNAEUS,PHOXINUS_PHOXINUS,1.0,10.3,10.3
LINNAEUS,SCARDINIUS_ERYTHROPHTHALMUS,1.0,11.99,11.99
LIOBAGRUS_STYANI,SILURUS_ASOTUS,1.0,13.99,13.99
LIOBAGRUS_STYANIA,BAGRIDAE,1.0,13.41,13.41
LIRCEUS,PREY,1.0,10.41,10.41
LONTRA_CANADENSIS,ESOX_LUCIUS,1.0,11.41,11.41
LONTRA_CANADENSIS,SANDER_VITREUS,1.0,12.41,12.41
LORICARIIDAE,PIMELODIDAE,1.0,13.0,13.0
LORICARIIDAE,SPECIE,1.0,4.43,4.43
LOTA_LOTA,LINNAEUS,1.0,8.62,8.62
LOTA_LOTA,LINNEAUS,4.0,13.41,13.41
LOTA_LOTA,MICROPTERUS_DOLOMIEU,1.0,12.19,12.19
LOTIDAE,SALMONIDAE,2.0,11.99,11.99
LUCIOBARBUS_GRAELLSII,CARASSIUS_AURATUS,1.0,12.68,12.68
LUCIUS,LEPOMIS_CYANELLUS,1.0,11.99,11.99
LUCIUS,LINNAEUS,1.0,8.69,8.69
LUDWIGIA,JUSTICIA,1.0,13.99,13.99
