TAXRANK_target,target,source,TAXRANK_source,relations,score.1,data_source_y
,BALLERUS,ABRAMIS,,,10.04,WEB corpus
,HIRUDINEA,ACANTHOCEPHALA,,,11.83,WEB corpus
,SCHLEGELI,ACANTHOPAGRUS,,,13.67,WEB corpus
,BIVALVIA,ACARI,,,11.99,WEB corpus
,CERNUA,ACERINA,,,13.36,WEB corpus
,UMATILLA,ACIPENSER,,,9.14,WEB corpus
,ACHIRIDAE,ACTINOPTERYGII,,,12.41,WEB corpus
,CYPRINIDAE,ACTINOPTERYGII,,,11.83,WEB corpus
,LINNAEUS,ACTINOPTERYGII,,,8.04,WEB corpus
,TRICHOMYCTERIDAE,ACTINOPTERYGII,,,12.19,WEB corpus
,GASTEROSTEIDAE,ACULEATUS,,,11.91,WEB corpus
,LINNAEUS,ACULEATUS,,,10.95,WEB corpus
,MYKISS,ACULEATUS,,,5.52,WEB corpus
,PUNGITIUS,ACULEATUS,,,9.91,WEB corpus
,CHIRONOMIDAE,AESHNIDAE,,,12.68,WEB corpus
,GIBBOSUS,AFFINIS,,,8.52,WEB corpus
,RETICULATA,AFFINIS,,,10.82,WEB corpus
,EPERLANUS,ALBULA,,,9.79,WEB corpus
,WILLIAMSONI,ALBULA,,,10.54,WEB corpus
,GLUTINOSA,ALNUS,,,13.99,WEB corpus
,CERIODAPHNIA,ALONA,,,13.0,WEB corpus
,NANA,ALONELLA,,,13.99,WEB corpus
,LINNAEUS,ALOSA,,,7.95,WEB corpus
,LAVARETUS,ALPINUS,,,7.2,WEB corpus
,OXYRINCHUS,ALPINUS,,,11.99,WEB corpus
,LUCIUS,AMERICANUS,,,7.43,WEB corpus
,ETHEOSTOMA,AMMOCRYPTA,,,12.68,WEB corpus
,COTTIDAE,AMMODYTES,,,11.3,WEB corpus
,HYLIDAE,AMPHIBIA,,,13.99,WEB corpus
,CHIRONOMIDAE,AMPHIPODA,,,11.09,WEB corpus
,COPEPODA,AMPHIPODA,,,11.19,WEB corpus
,DIPTERA,AMPHIPODA,,,11.04,WEB corpus
,EPHEMEROPTERA,AMPHIPODA,,,10.6,WEB corpus
,ISOPODA,AMPHIPODA,,,11.83,WEB corpus
,BAGRIDAE,ANGUILLIDAE,,,13.0,WEB corpus
,LINNAEUS,ANGUILLIDAE,,,8.07,WEB corpus
,UMBRIDAE,ANGUILLIDAE,,,11.83,WEB corpus
,FENNICA,ANNALES,,,13.99,WEB corpus
,ACARI,ANNELIDA,,,12.68,WEB corpus
,NIGROMACULATUS,ANNULARIS,,,11.19,WEB corpus
,MELANOSTOMA,APOLLONIA,,,13.73,WEB corpus
,MELANOSTOMUS,APOLLONIA,,,9.48,WEB corpus
,LINNAEUS,AQUATICUS,,,8.09,WEB corpus
,GADIDAE,ARCTICUS,,,11.99,WEB corpus
,LAMPETRA,ARCTICUS,,,12.68,WEB corpus
,LINNAEUS,ARDEA,,,7.97,WEB corpus
,NOBILIS,ARISTICHTHYS,,,12.41,WEB corpus
,CLUPEAFORMIS,ARTEDI,,,8.76,WEB corpus
,CLUPEAFORMIS,ARTEDII,,,8.76,WEB corpus
,SALINA,ARTEMIA,,,13.99,WEB corpus
,INSECTA,ARTHROPODA,,,13.99,WEB corpus
,AQUATICUS,ASELLUS,,,13.94,WEB corpus
,LINNAEUS,ASELLUS,,,7.93,WEB corpus
,ACULEATUS,ASPER,,,6.98,WEB corpus
,BARBUS,ASPIUS,,,10.0,WEB corpus
,BJOERKNA,ASPIUS,,,10.14,WEB corpus
,GARIEPINUS,ASSEMBLAGE,,,13.41,WEB corpus
,LIMI,ATROMACULATUS,,,11.67,WEB corpus
,NAMAYCUSH,AURATUS,,,7.38,WEB corpus
,TINCA,AURATUS,,,9.64,WEB corpus
,BIDYANUS,AUSTRALASICA,,,9.41,WEB corpus
,ERECTUM,AUSTRALIS,,,12.19,WEB corpus
,MARINUS,AUSTRALIS,,,7.04,WEB corpus
,RHINOGOBIUS,AWAOUS,,,13.41,WEB corpus
,GYMNOTRACHELUS,BABKA,,,13.99,WEB corpus
,PLECOPTERA,BAETIDAE,,,11.0,WEB corpus
,CINYGMULA,BAETIS,,,13.41,WEB corpus
,EPHEMERELLA,BAETIS,,,13.0,WEB corpus
,PERCINA,BAIRDI,,,11.41,WEB corpus
,MACROCHEILUS,BAIRDII,,,11.83,WEB corpus
,CARASSIUS,BALLERUS,,,10.47,WEB corpus
,LOTA,BALTEATUS,,,8.52,WEB corpus
,AURATUS,BARBATULA,,,8.96,WEB corpus
,LOTA,BARBATULA,,,8.5,WEB corpus
,CEPHALUS,BARBUS,,,8.44,WEB corpus
,OCEANOGRAFIA,BIOLOGIA,,,13.41,WEB corpus
,GOBIO,BIPUNCTATUS,,,8.08,WEB corpus
,ACARI,BIVALVIA,,,12.19,WEB corpus
,EPHEMEROPTERA,BIVALVIA,,,10.82,WEB corpus
,MOLLUSCA,BIVALVIA,,,11.83,WEB corpus
,UNIONIDAE,BIVALVIA,,,12.68,WEB corpus
,CARASSIUS,BJOERKNA,,,10.47,WEB corpus
,SQUALIUS,BOCAGEI,,,12.19,WEB corpus
,2,BOSMINA,,,12.68,WEB corpus
,BIOMASS,BOSMINA,,,12.41,WEB corpus
,CERIODAPHNIA,BOSMINA,,,10.68,WEB corpus
,CHYDORUS,BOSMINA,,,12.79,WEB corpus
,COREGONI,BOSMINA,,,12.26,WEB corpus
,DAPHNIA,BOSMINA,,,10.82,WEB corpus
,LEPTODORA,BOSMINA,,,10.75,WEB corpus
,LONGISPINA,BOSMINA,,,11.19,WEB corpus
,NUMBER,BOSMINA,,,11.99,WEB corpus
,PULEX,BOSMINA,,,11.26,WEB corpus
,SPP,BOSMINA,,,9.61,WEB corpus
,TAB,BOSMINA,,,12.68,WEB corpus
,COPEPODS,BRACHIONUS,,,13.41,WEB corpus
,COLEOPTERA,BRACHYCENTRIDAE,,,12.68,WEB corpus
,COREGONUS,BRACHYMYSTAX,,,12.41,WEB corpus
,ASPIUS,BRAMA,,,10.35,WEB corpus
,GOBIO,BRAMA,,,8.07,WEB corpus
,FOSTERI,BREVIPINNIS,,,12.68,WEB corpus
,ARTEMIA,BSN,,,13.99,WEB corpus
,UMBELLATUS,BUTOMUS,,,13.99,WEB corpus
,LONGIMANUS,BYTHOTREPHES,,,13.99,WEB corpus
,EXILE,CAERULEUM,,,11.83,WEB corpus
,SQUALIUS,CALDERONI,,,13.0,WEB corpus
,PETROMYZONTIDAE,CAMTSCHATICUM,,,13.41,WEB corpus
,VITREUS,CANADENSIS,,,10.3,WEB corpus
,VITREUM,CAPRODES,,,9.53,WEB corpus
,PARVA,CARASSIUS,,,8.54,WEB corpus
,MAENAS,CARCINUS,,,13.99,WEB corpus
,CAREX,CAREX,,,12.68,WEB corpus
,COMMERSONI,CATASTOMUS,,,11.09,WEB corpus
,ICTALURIDAE,CATOSTOMIDAE,,,12.88,WEB corpus
,SALMONIDAE,CATOSTOMIDAE,,,11.64,WEB corpus
,UMBRIDAE,CATOSTOMIDAE,,,11.19,WEB corpus
,COMMERSONI,CATOSTOMUS,,,13.05,WEB corpus
,COTTUS,CATOSTOMUS,,,8.81,WEB corpus
,COUESIUS,CATOSTOMUS,,,12.19,WEB corpus
,ESOCIDAE,CATOSTOMUS,,,10.895,WEB corpus
,HUDSONIUS,CATOSTOMUS,,,12.19,WEB corpus
,NOTROPIS,CATOSTOMUS,,,12.19,WEB corpus
,PERCA,CATOSTOMUS,,,8.71,WEB corpus
,PIMEPHALES,CATOSTOMUS,,,12.19,WEB corpus
,PLUMBEUS,CATOSTOMUS,,,12.19,WEB corpus
,SPP,CATOSTOMUS,,,8.4,WEB corpus
,ICTALURUS,CENTRARCHIDAE,,,13.12,WEB corpus
,NATALIS,CENTRARCHIDAE,,,11.83,WEB corpus
,PERCIDAE,CENTRARCHIDAE,,,13.0,WEB corpus
,PUNCTATUS,CENTRARCHIDAE,,,11.83,WEB corpus
,ALBURNUS,CEPHALUS,,,9.79,WEB corpus
,NASUS,CEPHALUS,,,9.91,WEB corpus
,DEMERSUM,CERATOPHYLLUM,,,13.88,WEB corpus
,EGERIA,CERATOPHYLLUM,,,10.6,WEB corpus
,NUPHAR,CERATOPHYLLUM,,,10.54,WEB corpus
,GASTROPODA,CERATOPOGONIDAE,,,13.67,WEB corpus
,CHYDORUS,CERIODAPHNIA,,,11.83,WEB corpus
,DIAPHANOSOMA,CERIODAPHNIA,,,12.68,WEB corpus
,QUADRANGULA,CERIODAPHNIA,,,12.68,WEB corpus
,FLUVIATILIS,CERNUA,,,5.46,WEB corpus
,CERNUA,CERNUUS,,,11.97,WEB corpus
,FLUVIATILIS,CERNUUS,,,9.44,WEB corpus
,PERCA,CERNUUS,,,9.35,WEB corpus
,PERCINA,CERNUUS,,,11.0,WEB corpus
,NEMATODA,CESTODA,,,11.14,WEB corpus
,PUNCTATUS,CHANNA,,,10.49,WEB corpus
,FLAVICANS,CHAOBORUS,,,13.83,WEB corpus
,ROTIFERA,CHAOBORUS,,,11.99,WEB corpus
,OSTARIOPHYSI,CHARACIDAE,,,13.41,WEB corpus
,AMPHIPODA,CHIRONOMIDAE,,,11.75,WEB corpus
,ARANEIDA,CHIRONOMIDAE,,,10.91,WEB corpus
,BAETIDAE,CHIRONOMIDAE,,,11.0,WEB corpus
,BLEPHAROCERIDAE,CHIRONOMIDAE,,,11.0,WEB corpus
,CULICIDAE,CHIRONOMIDAE,,,10.91,WEB corpus
,DIPTERA,CHIRONOMIDAE,,,11.71,WEB corpus
,HOMOPTERA,CHIRONOMIDAE,,,10.75,WEB corpus
,HYMENOPTERA,CHIRONOMIDAE,,,10.35,WEB corpus
,OLIGOCHAETA,CHIRONOMIDAE,,,10.82,WEB corpus
,TRICHOPTERA,CHIRONOMIDAE,,,10.64,WEB corpus
,GAMMARUS,CHIRONOMUS,,,11.3,WEB corpus
,PLUMOSUS,CHIRONOMUS,,,13.5,WEB corpus
,RIPARIUS,CHIRONOMUS,,,12.77,WEB corpus
,SPP,CHIRONOMUS,,,9.83,WEB corpus
,POLYLEPIS,CHONDROSTOMA,,,10.24,WEB corpus
,SALAR,CHONDROSTOMA,,,5.39,WEB corpus
,TOXOSTOMA,CHONDROSTOMA,,,12.41,WEB corpus
,NEOGAEUS,CHROSOMUS,,,13.99,WEB corpus
,CORNUTUS,CHRYSOCEPHALUS,,,11.54,WEB corpus
,CURCULIONIDAE,CHRYSOMELIDAE,,,13.41,WEB corpus
,PERCA,CHRYSOPS,,,11.83,WEB corpus
,SAXATILIS,CHRYSOPS,,,10.16,WEB corpus
,OCELLATUS,CHUATSI,,,11.09,WEB corpus
,CRUSTACEA,CHYDORIDAE,,,12.41,WEB corpus
,SPP,CHYDORUS,,,10.3,WEB corpus
,HEMIPTERA,CICADELLIDAE,,,12.41,WEB corpus
,HYMENOPTERA,CICADELLIDAE,,,11.41,WEB corpus
,MOSSAMBICUS,CICHLIDAE,,,10.04,WEB corpus
,LINNAEUS,CINEREA,,,8.09,WEB corpus
,BOSMINA,CLADOCERA,,,11.675,WEB corpus
,CALANOIDA,CLADOCERA,,,10.6,WEB corpus
,CHYDORUS,CLADOCERA,,,12.19,WEB corpus
,COPEPODA,CLADOCERA,,,12.705,WEB corpus
,CRYSTALLINA,CLADOCERA,,,10.41,WEB corpus
,DAPHNIA,CLADOCERA,,,12.83,WEB corpus
,FOOD,CLADOCERA,,,11.54,WEB corpus
,NUMBER,CLADOCERA,,,11.99,WEB corpus
,ORGANISM,CLADOCERA,,,12.68,WEB corpus
,ROTIFERA,CLADOCERA,,,10.54,WEB corpus
,RUDD,CLADOCERA,,,12.68,WEB corpus
,SILURIFORMES,CLARIIDAE,,,13.41,WEB corpus
,SALVELINUS,CLARKI,,,11.67,WEB corpus
,SINENSIS,CLONORCHIS,,,13.99,WEB corpus
,LINNAEUS,CLUPEA,,,7.32,WEB corpus
,SALMO,CLUPEA,,,8.43,WEB corpus
,SALMONIDAE,CLUPEAFORMIS,,,9.91,WEB corpus
,PSEUDOHARENGUS,CLUPEIDAE,,,9.04,WEB corpus
,SQUALIUS,COBITIS,,,10.19,WEB corpus
,RICEI,COGNATUS,,,12.19,WEB corpus
,CARABIDAE,COLEOPTERA,,,10.91,WEB corpus
,DIPTERA,COLEOPTERA,,,11.26,WEB corpus
,DYTISCIDAE,COLEOPTERA,,,10.75,WEB corpus
,ELMIDAE,COLEOPTERA,,,10.6,WEB corpus
,GYRINIDAE,COLEOPTERA,,,10.82,WEB corpus
,HALIPLIDAE,COLEOPTERA,,,10.82,WEB corpus
,HEMIPTERA,COLEOPTERA,,,10.68,WEB corpus
,HETEROPTERA,COLEOPTERA,,,10.6,WEB corpus
,HYDROPHILIDAE,COLEOPTERA,,,10.91,WEB corpus
,LEPIDOPTERA,COLEOPTERA,,,11.83,WEB corpus
,ODONATA,COLEOPTERA,,,10.6,WEB corpus
,PLECOPTERA,COLEOPTERA,,,9.48,WEB corpus
,TRICHOPTERA,COLEOPTERA,,,9.61,WEB corpus
,OLIGOCHAETA,COLLEMBOLA,,,13.0,WEB corpus
,PERCA,COMMERSONI,,,12.19,WEB corpus
,COULTERII,COMMERSONII,,,12.54,WEB corpus
,CLADOCERA,COPEPODA,,,11.3,WEB corpus
,CRUSTACEA,COPEPODA,,,11.19,WEB corpus
,CYCLOPOIDA,COPEPODA,,,11.54,WEB corpus
,DECAPODA,COPEPODA,,,11.99,WEB corpus
,MOLLUSCA,COPEPODA,,,11.19,WEB corpus
,OSTRACODA,COPEPODA,,,11.41,WEB corpus
,ROTIFERA,COPEPODA,,,11.41,WEB corpus
,TRICHOPTERA,COPEPODA,,,9.87,WEB corpus
,CLADOCERA,COPEPODS,,,12.68,WEB corpus
,ARTEDII,COREGONUS,,,10.08,WEB corpus
,COREGONUS,COREGONUS,,,12.19,WEB corpus
,NERKA,COREGONUS,,,5.58,WEB corpus
,SALMONIDAE,COREGONUS,,,5.95,WEB corpus
,SPP,COREGONUS,,,7.97,WEB corpus
,THYMALLUS,COREGONUS,,,6.04,WEB corpus
,WILLIAMSONI,COREGONUS,,,5.99,WEB corpus
,HYMENOPTERA,CORIXIDAE,,,11.54,WEB corpus
,CYPRINIDAE,CORNUTUS,,,11.19,WEB corpus
,COTTIDAE,COTTID,,,13.99,WEB corpus
,GOBIO,COTTIDAE,,,8.05,WEB corpus
,MORONIDAE,COTTIDAE,,,13.41,WEB corpus
,ACULEATUS,COTTUS,,,5.84,WEB corpus
,BAIRDI,COTTUS,,,11.99,WEB corpus
,BELDINGI,COTTUS,,,6.71,WEB corpus
,COTTIDAE,COTTUS,,,6.68,WEB corpus
,PERCINA,COTTUS,,,11.41,WEB corpus
,PYGMAEUS,COTTUS,,,6.71,WEB corpus
,SPECUS,COTTUS,,,6.71,WEB corpus
,SPP,COTTUS,,,6.6,WEB corpus
,THOMPSONII,COTTUS,,,6.59,WEB corpus
,SPILOPTERA,COUESIUS,,,9.75,WEB corpus
,BAIRDII,COULTERII,,,11.54,WEB corpus
,CRANGON,CRANGON,,,13.54,WEB corpus
,SEPTEMSPINOSA,CRANGON,,,13.26,WEB corpus
,ACARI,CRUSTACEA,,,11.09,WEB corpus
,AMPHIPODA,CRUSTACEA,,,11.0,WEB corpus
,CLADOCERA,CRUSTACEA,,,11.0,WEB corpus
,COPEPODA,CRUSTACEA,,,10.95,WEB corpus
,DECAPODA,CRUSTACEA,,,12.33,WEB corpus
,MOLLUSCA,CRUSTACEA,,,10.91,WEB corpus
,PALAEMONIDAE,CRUSTACEA,,,11.3,WEB corpus
,PLECOPTERA,CRUSTACEA,,,9.61,WEB corpus
,SALMINCOLA,CRUSTACEA,,,11.09,WEB corpus
,IDELLUS,CTENOPHARYNGODON,,,13.58,WEB corpus
,GAMMARUS,CULEX,,,13.41,WEB corpus
,HYMENOPTERA,CULICIDAE,,,11.41,WEB corpus
,MUSCIDAE,CULICIDAE,,,13.0,WEB corpus
,ELMIDAE,CURCULIONIDAE,,,12.41,WEB corpus
,GIBBOSUS,CYANELLUS,,,9.5,WEB corpus
,GULOSUS,CYANELLUS,,,10.68,WEB corpus
,NOTEMIGONUS,CYPRINELLA,,,11.19,WEB corpus
,ANGUILLA,CYPRINIDAE,,,7.51,WEB corpus
,BRAMA,CYPRINIDAE,,,7.5,WEB corpus
,CEPHALUS,CYPRINIDAE,,,7.51,WEB corpus
,ESOX,CYPRINIDAE,,,12.61,WEB corpus
,FLUVIATILIS,CYPRINIDAE,,,12.62,WEB corpus
,ICTALURIDAE,CYPRINIDAE,,,11.19,WEB corpus
,LUCIUS,CYPRINIDAE,,,12.62,WEB corpus
,OSTARIOPHYSI,CYPRINIDAE,,,11.54,WEB corpus
,PERCA,CYPRINIDAE,,,12.6,WEB corpus
,POECILIIDAE,CYPRINIDAE,,,11.41,WEB corpus
,SALMONIDAE,CYPRINIDAE,,,9.61,WEB corpus
,TELEOSTEI,CYPRINIDAE,,,11.09,WEB corpus
,UMBRIDAE,CYPRINIDAE,,,11.09,WEB corpus
,CYPRINELLA,CYPRINUS,,,11.67,WEB corpus
,LINNAEUS,CYPRINUS,,,9.0,WEB corpus
,TRUTTA,DA,,,5.45,WEB corpus
,TSHAWYTSCHA,DAKOTA,,,7.66,WEB corpus
,OSMERIDAE,DALLIA,,,13.41,WEB corpus
,BOSMINA,DAPHNIA,,,11.35,WEB corpus
,CARINATA,DAPHNIA,,,10.47,WEB corpus
,CERIODAPHNIA,DAPHNIA,,,9.44,WEB corpus
,CHIRONOMID,DAPHNIA,,,9.5,WEB corpus
,COPEPODS,DAPHNIA,,,9.48,WEB corpus
,CULTUS,DAPHNIA,,,9.5,WEB corpus
,DECAPODA,DAPHNIA,,,9.32,WEB corpus
,DIAPHANOSOMA,DAPHNIA,,,9.48,WEB corpus
,GALEATA,DAPHNIA,,,11.03,WEB corpus
,HYALINA,DAPHNIA,,,12.13,WEB corpus
,KERATELLA,DAPHNIA,,,13.41,WEB corpus
,LEPTODORA,DAPHNIA,,,9.48,WEB corpus
,LONGISPINA,DAPHNIA,,,12.38,WEB corpus
,POLYARTHRA,DAPHNIA,,,13.41,WEB corpus
,PULEX,DAPHNIA,,,11.74,WEB corpus
,ROTIFERS,DAPHNIA,,,9.5,WEB corpus
,SPP,DAPHNIA,,,10.89,WEB corpus
,AMPHIPODA,DECAPODA,,,12.19,WEB corpus
,ATYIDAE,DECAPODA,,,12.68,WEB corpus
,CRUSTACEA,DECAPODA,,,11.99,WEB corpus
,BOSMINA,DIAPHANOSOMA,,,11.67,WEB corpus
,CAENIS,DIET,,,10.82,WEB corpus
,CHIRONOMIDS,DIET,,,10.82,WEB corpus
,CHYDORIDAE,DIET,,,10.82,WEB corpus
,DAPHNIA,DIET,,,10.82,WEB corpus
,GYRAULUS,DIET,,,10.68,WEB corpus
,PHYSA,DIET,,,10.68,WEB corpus
,CESTODA,DIGENEA,,,13.41,WEB corpus
,PHOXINI,DIPLOSTOMUM,,,13.41,WEB corpus
,SPATHACEUM,DIPLOSTOMUM,,,13.41,WEB corpus
,ARANEIDA,DIPTERA,,,11.0,WEB corpus
