TAXRANK_target,target,source,TAXRANK_source,relations,score.1,data_source_y
,CYANELLUS,NEBULOSUS,,,10.47,WEB corpus
,ACANTHOCEPHALA,NEMATODA,,,13.3,WEB corpus
,ANNELIDA,NEMATODA,,,11.67,WEB corpus
,HIRUDINEA,NEMATODA,,,11.19,WEB corpus
,HYMENOPTERA,NEMATODA,,,10.91,WEB corpus
,HIRUDINEA,NEMERTEA,,,11.99,WEB corpus
,TRICHOPTERA,NEMOURIDAE,,,10.24,WEB corpus
,NOTATUS,NEOGAEUS,,,10.82,WEB corpus
,MARMORATUS,NEOGOBIUS,,,8.31,WEB corpus
,GORBUSCHA,NERKA,,,9.24,WEB corpus
,SPECTABILE,NIGRUM,,,13.41,WEB corpus
,MACROCHIRUS,NILOTICUS,,,8.35,WEB corpus
,MYRIOPHYLLUM,NITELLA,,,13.41,WEB corpus
,AFFINIS,NOBILIS,,,10.19,WEB corpus
,CORNUTUS,NOTROPIS,,,9.35,WEB corpus
,EMILIAE,NOTROPIS,,,9.57,WEB corpus
,SPILOPTERUS,NOTROPIS,,,9.64,WEB corpus
,FURCATUS,NOTURUS,,,11.3,WEB corpus
,CAREX,NUPHAR,,,11.09,WEB corpus
,LUTEA,NUPHAR,,,13.93,WEB corpus
,ALBA,NYMPHAEA,,,13.77,WEB corpus
,NUPHAR,NYMPHAEA,,,12.41,WEB corpus
,VITTATUS,ODOE,,,13.0,WEB corpus
,BIVALVIA,ODONATA,,,11.41,WEB corpus
,CHIRONOMIDAE,ODONATA,,,11.3,WEB corpus
,GASTROPODA,ODONATA,,,11.99,WEB corpus
,HEMIPTERA,ODONATA,,,11.83,WEB corpus
,PLECOPTERA,ODONATA,,,9.87,WEB corpus
,CHIRONOMIDAE,OLIGOCHAETA,,,11.99,WEB corpus
,EPHEMEROPTERA,OLIGOCHAETA,,,10.54,WEB corpus
,HIRUDINEA,OLIGOCHAETA,,,12.09,WEB corpus
,MEGALOPTERA,OLIGOCHAETA,,,12.19,WEB corpus
,TRICHOPTERA,OLIGOCHAETA,,,9.91,WEB corpus
,CLARKI,ONCHORHYNCHUS,,,8.93,WEB corpus
,KISUTCH,ONCHORHYNCHUS,,,8.13,WEB corpus
,MYKISS,ONCHORHYNCHUS,,,9.67,WEB corpus
,NERKA,ONCHORHYNCHUS,,,9.25,WEB corpus
,TSHAWYTSCHA,ONCHORHYNCHUS,,,7.45,WEB corpus
,TSHAWYTSCHA,ONCORHYCHUS,,,7.66,WEB corpus
,CLARKI,ONCORHYNCHUS,,,9.49,WEB corpus
,COULTERII,ONCORHYNCHUS,,,4.58,WEB corpus
,PERCINA,ONCORHYNCHUS,,,11.09,WEB corpus
,RHODURUS,ONCORHYNCHUS,,,7.16,WEB corpus
,SALMO,ONCORHYNCHUS,,,6.16,WEB corpus
,SALMONIDAE,ONCORHYNCHUS,,,4.55,WEB corpus
,SPP,ONCORHYNCHUS,,,4.55,WEB corpus
,KISUTCH,ONCORHYNCUS,,,8.82,WEB corpus
,MYKISS,ONCORHYNCUS,,,7.85,WEB corpus
,NERKA,ONCORHYNCUS,,,7.35,WEB corpus
,TSHAWYTSCHA,ONCORHYNCUS,,,8.57,WEB corpus
,KISUTCH,ONCORYNCHUS,,,8.28,WEB corpus
,MYKISS,ONCORYNCHUS,,,6.54,WEB corpus
,PROPINQUUS,ORCONECTES,,,13.35,WEB corpus
,RUSTICUS,ORCONECTES,,,13.22,WEB corpus
,VIRILIS,ORCONECTES,,,11.75,WEB corpus
,COLEOPTERA,ORTHOPTERA,,,12.41,WEB corpus
,DIPTERA,ORTHOPTERA,,,10.19,WEB corpus
,HEMIPTERA,ORTHOPTERA,,,11.99,WEB corpus
,EPERLANUS,OSMERIDAE,,,13.41,WEB corpus
,PERCINA,OSMERUS,,,8.6,WEB corpus
,CHARACIFORMES,OSTEICHTHYES,,,11.99,WEB corpus
,GOBIIDAE,OSTEICHTHYES,,,11.83,WEB corpus
,PERCIFORMES,OSTEICHTHYES,,,11.99,WEB corpus
,SALMONIDAE,OSTEICHTHYES,,,9.67,WEB corpus
,SCIAENIDAE,OSTEICHTHYES,,,11.41,WEB corpus
,SCORPAENIFORMES,OSTEICHTHYES,,,12.83,WEB corpus
,CLADOCERA,OSTRACODA,,,12.41,WEB corpus
,HYDRACARINA,OSTRACODA,,,13.0,WEB corpus
,PIG,OTOLITHS,,,13.99,WEB corpus
,LENIUSCULUS,PACIFASTACUS,,,13.99,WEB corpus
,SALMONIDAE,PACIFICUS,,,9.91,WEB corpus
,NAMAYCUSH,PAGRUS,,,7.32,WEB corpus
,DECAPODA,PALAEMONIDAE,,,11.99,WEB corpus
,MYKISS,PARASALMO,,,6.55,WEB corpus
,IDELLUS,PARVA,,,12.68,WEB corpus
,MINIBICORNIS,PARVICAPSULA,,,13.99,WEB corpus
,CONTINENTALES,PECES,,,13.99,WEB corpus
,OSMERIDAE,PECTORALIS,,,13.41,WEB corpus
,ETHEOSTOMA,PELLUCIDA,,,13.41,WEB corpus
,ABRAMIS,PERCA,,,11.54,WEB corpus
,BRAMA,PERCA,,,11.54,WEB corpus
,LINNAEUS,PERCA,,,8.16,WEB corpus
,PERCINA,PERCA,,,6.57,WEB corpus
,RUTILUS,PERCA,,,8.395,WEB corpus
,STIZOSTEDION,PERCA,,,5.59,WEB corpus
,UMBLA,PERCA,,,11.67,WEB corpus
,ASPIUS,PERCAFLUVIATILIS,,,10.41,WEB corpus
,FLAVESCENS,PERCH,,,12.68,WEB corpus
,GASTEROSTEIDAE,PERCIDAE,,,12.19,WEB corpus
,PERCIDAE,PERCIDAE,,,12.41,WEB corpus
,SALMONIDAE,PERCIDAE,,,9.83,WEB corpus
,CANADENSIS,PERCINA,,,9.71,WEB corpus
,VITREUM,PERCINA,,,9.16,WEB corpus
,LEUCTRIDAE,PERLODIDAE,,,13.41,WEB corpus
,LETHENTERON,PETROMYZON,,,7.0,WEB corpus
,LINNAEUS,PETROMYZON,,,9.45,WEB corpus
,LINNEAUS,PETROMYZON,,,6.95,WEB corpus
,BARBATULUS,PHOXINUS,,,12.83,WEB corpus
,BIPUNCTATUS,PHOXINUS,,,12.68,WEB corpus
,AUSTRALIS,PHRAGMITES,,,11.78,WEB corpus
,CAREX,PHRAGMITES,,,11.3,WEB corpus
,CYPERUS,PHRAGMITES,,,13.41,WEB corpus
,SCIRPUS,PHRAGMITES,,,11.67,WEB corpus
,GYRAULUS,PHYSA,,,13.99,WEB corpus
,PLANORBIDAE,PHYSIDAE,,,13.99,WEB corpus
,TRICHOPTERA,PISIDIUM,,,11.19,WEB corpus
,NONE,PLAN,,,12.68,WEB corpus
,BIVALVIA,PLANORBIDAE,,,12.68,WEB corpus
,SPHAERIIDAE,PLANORBIDAE,,,13.0,WEB corpus
,LIMANDA,PLATESSA,,,11.67,WEB corpus
,COLLEMBOLA,PLECOPTERA,,,11.19,WEB corpus
,DIPTERA,PLECOPTERA,,,10.79,WEB corpus
,EPHEMEROPTERA,PLECOPTERA,,,11.24,WEB corpus
,HYMENOPTERA,PLECOPTERA,,,10.47,WEB corpus
,TRICHOPTERA,PLECOPTERA,,,12.51,WEB corpus
,AMERICANUS,PLEURONECTES,,,11.88,WEB corpus
,SPILOPTERA,PLUMBEUS,,,11.99,WEB corpus
,GLOSSOSOMATIDAE,POLYCENTROPODIDAE,,,13.41,WEB corpus
,LIMNEPHILIDAE,POLYCENTROPODIDAE,,,12.68,WEB corpus
,HYDRILLA,POLYGONUM,,,13.99,WEB corpus
,PEDICULUS,POLYPHEMUS,,,13.67,WEB corpus
,SPP,POMOXIS,,,9.06,WEB corpus
,CUTICOLA,POSTHODIPLOSTOMUM,,,13.99,WEB corpus
,BREVIPINNIS,POSTVECTIS,,,12.19,WEB corpus
,CERATOPHYLLUM,POTAMOGETON,,,11.3,WEB corpus
,ILLINOENSIS,POTAMOGETON,,,11.41,WEB corpus
,MYRIOPHYLLUM,POTAMOGETON,,,11.09,WEB corpus
,NATANS,POTAMOGETON,,,11.41,WEB corpus
,PERFOLIATUS,POTAMOGETON,,,13.09,WEB corpus
,POLYGONUM,POTAMOGETON,,,11.41,WEB corpus
,SAGITTARIA,POTAMOGETON,,,12.29,WEB corpus
,CLARKII,PROCAMBARUS,,,12.86,WEB corpus
,CATARACTAE,PROMELAS,,,11.0,WEB corpus
,PROMELAS,PROMELAS,,,10.3,WEB corpus
,PHILOPOTAMIDAE,PSYCHOMYIIDAE,,,13.99,WEB corpus
,EIMEKEI,PTEROPHYLLUM,,,13.99,WEB corpus
,LUCIUS,PUNCTATUS,,,6.43,WEB corpus
,MORONE,PUNCTATUS,,,13.0,WEB corpus
,ACULEATUS,PUNGITIUS,,,6.97,WEB corpus
,COTTIDAE,PUNGITIUS,,,10.375,WEB corpus
,PUNGITIUS,PYGOSTEUS,,,11.83,WEB corpus
,PUNGITUS,PYGOSTEUS,,,11.83,WEB corpus
,PTYCHOCHEILUS,RECOVERY,,,12.68,WEB corpus
,GIBBOSUS,RETICULATA,,,8.52,WEB corpus
,POECILIIDAE,RETICULATA,,,12.68,WEB corpus
,MACULATUS,RETROPINNA,,,11.67,WEB corpus
,POLYCENTROPODIDAE,RHYACOPHILIDAE,,,13.41,WEB corpus
,THOMPSONII,RICEI,,,10.09,WEB corpus
,PROTOZOA,ROTIFERA,,,13.99,WEB corpus
,GYRAULUS,ROUND,,,12.68,WEB corpus
,PHYSA,ROUND,,,12.68,WEB corpus
,STRAMINEUS,RUBELLUS,,,12.19,WEB corpus
,RUPESTRIS,RUPESTRIS,,,10.47,WEB corpus
,RUTILIS,RUTILIS,,,13.67,WEB corpus
,RUTILUS,RUTILIS,,,6.93,WEB corpus
,ALBURNUS,RUTILUS,,,8.695,WEB corpus
,BJOERKNA,RUTILUS,,,9.71,WEB corpus
,BRAMA,RUTILUS,,,9.35,WEB corpus
,CYPRINIDAE,RUTILUS,,,11.35,WEB corpus
,ERYTHROPHTHALMUS,RUTILUS,,,9.06,WEB corpus
,FOOD,RUTILUS,,,11.83,WEB corpus
,LEUCISCUS,RUTILUS,,,10.3,WEB corpus
,PLANT,RUTILUS,,,12.19,WEB corpus
,RERIO,RUTILUS,,,10.04,WEB corpus
,SALAR,RUTILUS,,,5.205,WEB corpus
,TELEOSTEI,RUTILUS,,,7.92,WEB corpus
,LATIFOLIA,SAGITTARIA,,,11.83,WEB corpus
,MYRIOPHYLLUM,SAGITTARIA,,,12.41,WEB corpus
,COGNATUS,SALAR,,,8.54,WEB corpus
,LINNAEUS,SALAR,,,10.68,WEB corpus
,LINNEAUS,SALAR,,,11.09,WEB corpus
,SALMONIDAE,SALAR,,,9.27,WEB corpus
,TRUTTA,SALAR,,,8.59,WEB corpus
,CLARKI,SALMO,,,7.05,WEB corpus
,FONTINALIS,SALMO,,,4.1,WEB corpus
,GAIRDNERI,SALMO,,,11.48,WEB corpus
,GAIRDNERII,SALMO,,,6.27,WEB corpus
,LINNAEUS,SALMO,,,8.35,WEB corpus
,LINNEAUS,SALMO,,,5.85,WEB corpus
,PERCINA,SALMO,,,10.82,WEB corpus
,SALVELINUS,SALMO,,,6.59,WEB corpus
,SQUALIUS,SALMO,,,4.27,WEB corpus
,COREGONIDAE,SALMONIDAE,,,12.68,WEB corpus
,COTTIDAE,SALMONIDAE,,,11.3,WEB corpus
,GENUS,SALMONIDAE,,,11.35,WEB corpus
,LEUCOMAENIS,SALMONIDAE,,,10.41,WEB corpus
,MYKISS,SALMONIDAE,,,7.975,WEB corpus
,OSTEICHTHYES,SALMONIDAE,,,12.41,WEB corpus
,SALAR,SALMONIDAE,,,11.77,WEB corpus
,TRUTTA,SALMONIDAE,,,11.19,WEB corpus
,TRUTTA,SALRNO,,,6.45,WEB corpus
,SALMONIDAE,SALVELINUS,,,4.87,WEB corpus
,SPP,SALVELINUS,,,7.46,WEB corpus
,THYMALLUS,SALVELINUS,,,4.78,WEB corpus
,WILLUGHBII,SALVELINUS,,,7.71,WEB corpus
,OMISCOMAYCUS,SANDER,,,11.41,WEB corpus
,PERCINA,SANDER,,,11.19,WEB corpus
,PERCOPSIS,SANDER,,,11.41,WEB corpus
,VITREUM,SANDER,,,7.5,WEB corpus
,PARASITICA,SAPROLEGNIA,,,13.99,WEB corpus
,MORONE,SAXATILIS,,,13.41,WEB corpus
,ERYTHROPHTALMUS,SCARDINIUS,,,10.32,WEB corpus
,FOOD,SCARDINIUS,,,11.83,WEB corpus
,PLANT,SCARDINIUS,,,12.19,WEB corpus
,ERYTHROPHTHALMUS,SCARDINUS,,,9.35,WEB corpus
,TELEOSTEI,SCIAENIDAE,,,12.19,WEB corpus
,CERATOPOGONIDAE,SCIOMYZIDAE,,,13.41,WEB corpus
,CAREX,SCIRPUS,,,12.19,WEB corpus
,LACUSTRIS,SCIRPUS,,,11.83,WEB corpus
,MAXIMUS,SCOPHTHALMUS,,,13.99,WEB corpus
,COTTUS,SCORPAENIFORMES,,,13.41,WEB corpus
,SPP,SEBASTES,,,10.3,WEB corpus
,LIMI,SEMOTILUS,,,10.14,WEB corpus
,EICHHORNIA,SERRASALMUS,,,13.99,WEB corpus
,CRYSTALLINA,SIDA,,,13.83,WEB corpus
,DIPTERA,SIMULIIDAE,,,10.24,WEB corpus
,HOMOPTERA,SIMULIIDAE,,,12.19,WEB corpus
,HYMENOPTERA,SIMULIIDAE,,,11.3,WEB corpus
,HEPTAGENIIDAE,SIPHLONURIDAE,,,13.99,WEB corpus
,ERECTUM,SPARGANIUM,,,13.83,WEB corpus
,RANUNCULUS,SPARGANIUM,,,13.41,WEB corpus
,TELEOSTEI,SPARIDAE,,,12.19,WEB corpus
,ZONALE,SPECTABILE,,,12.19,WEB corpus
,SPP,SPP,,,10.3,WEB corpus
,ALBURNOIDES,SQUALIUS,,,10.24,WEB corpus
,DIPTERA,STAPHYLINIDAE,,,10.35,WEB corpus
,ACULEATUS,STICKLEBACK,,,13.99,WEB corpus
,CANADENSE,STIZOSTEDION,,,9.53,WEB corpus
,GYMNOCEPHALUS,STIZOSTEDION,,,8.55,WEB corpus
,LUCIOPERCA,STIZOSTEDION,,,12.71,WEB corpus
,VITREUM,STIZOSTEDION,,,13.23,WEB corpus
,CERNUUS,STREBER,,,9.16,WEB corpus
,LACUSTRIS,TABANIDAE,,,10.91,WEB corpus
,TURBELLARIA,TABANIDAE,,,13.41,WEB corpus
,GLANIS,TAENIA,,,9.64,WEB corpus
,LEUCTRIDAE,TAENIOPTERYGIDAE,,,13.41,WEB corpus
,CICHLIDAE,TELEOSTEI,,,13.0,WEB corpus
,CLARIIDAE,TELEOSTEI,,,11.54,WEB corpus
,CYPRINIDAE,TELEOSTEI,,,12.12,WEB corpus
,GADIDAE,TELEOSTEI,,,11.09,WEB corpus
,LETHRINIDAE,TELEOSTEI,,,11.67,WEB corpus
,EPHEMEROPTERA,TERRESTRIAL,,,13.41,WEB corpus
,SALMONIDAE,THALEICHTHYS,,,9.44,WEB corpus
,GADIDAE,THYMALLUS,,,7.53,WEB corpus
,LINNAEUS,THYMALLUS,,,6.82,WEB corpus
,NAMAYCUSH,THYMALLUS,,,7.33,WEB corpus
,PHOXINUS,THYMALLUS,,,9.14,WEB corpus
,RUTILUS,THYMALLUS,,,6.89,WEB corpus
,SALMONIDAE,THYMALLUS,,,9.755,WEB corpus
,NILOTICA,TILAPIA,,,12.09,WEB corpus
,NILOTICUS,TILAPIA,,,9.66,WEB corpus
,GLANIS,TINCA,,,9.57,WEB corpus
,LINNAEUS,TINCA,,,8.875,WEB corpus
,HOMOPTERA,TIPULIDAE,,,12.41,WEB corpus
,PLECOPTERA,TIPULIDAE,,,10.0,WEB corpus
,HIODON,TRANSMONTANUS,,,12.68,WEB corpus
,PERCA,TRANSMONTANUS,,,11.99,WEB corpus
,DIPLOSTOMATIDAE,TREMATODA,,,11.99,WEB corpus
,COLEOPTERA,TRICHOPTERA,,,10.19,WEB corpus
,DIPTERA,TRICHOPTERA,,,11.9,WEB corpus
,EPHEMEROPTERA,TRICHOPTERA,,,12.45,WEB corpus
,HETEROPTERA,TRICHOPTERA,,,10.35,WEB corpus
,HIRUDINEA,TRICHOPTERA,,,10.24,WEB corpus
,HYDROPSYCHE,TRICHOPTERA,,,11.64,WEB corpus
,HYDROPSYCHIDAE,TRICHOPTERA,,,10.6,WEB corpus
,ODONATA,TRICHOPTERA,,,10.35,WEB corpus
,OLIGOCHAETA,TRICHOPTERA,,,10.47,WEB corpus
,PLECOPTERA,TRICHOPTERA,,,11.27,WEB corpus
,POLYCENTROPODIDAE,TRICHOPTERA,,,10.54,WEB corpus
,RHYACOPHILIDAE,TRICHOPTERA,,,10.6,WEB corpus
,CLUPEIDAE,TRIDENTATUS,,,13.41,WEB corpus
,DIPTERA,TROUT,,,11.67,WEB corpus
,LEPIDOPTERA,TROUT,,,11.67,WEB corpus
,CLARKII,TRUTTA,,,9.83,WEB corpus
,FONTINALIS,TRUTTA,,,8.68,WEB corpus
,LINNAEUS,TRUTTA,,,11.06,WEB corpus
,LINNEAUS,TRUTTA,,,10.14,WEB corpus
,MYKISS,TRUTTA,,,6.51,WEB corpus
,PERCINA,TRUTTA,,,11.0,WEB corpus
,SQUALIUS,TRUTTA,,,10.35,WEB corpus
,THYMALLUS,TRUTTA,,,9.09,WEB corpus
,KISUTCH,TSCHAWYTSCHA,,,7.3,WEB corpus
,COULTERII,TSHAWYTSCHA,,,11.67,WEB corpus
,OSTRACODA,TURBELLARIA,,,13.0,WEB corpus
,CYPERUS,TYPHA,,,13.41,WEB corpus
,LATIFOLIA,TYPHA,,,13.62,WEB corpus
,PHRAGMITES,TYPHA,,,11.99,WEB corpus
,VITREUS,UMATILLA,,,9.32,WEB corpus
,LIMI,UMBRIDAE,,,11.41,WEB corpus
,SALMONIDAE,UMBRIDAE,,,10.82,WEB corpus
,VULGARIS,UTRICULARIA,,,13.0,WEB corpus
,NOTONECTIDAE,VELIIDAE,,,13.99,WEB corpus
,ARGENTEA,VICTORIA,,,11.09,WEB corpus
,HAPLOCHROMINE,VICTORIA,,,11.99,WEB corpus
,NYANZA,VICTORIA,,,11.99,WEB corpus
,VICTORIA,VICTORIA,,,13.54,WEB corpus
,FLAVESCENS,VITREUM,,,7.89,WEB corpus
,COMMERSONII,VITREUS,,,11.19,WEB corpus
,OMISCOMAYCUS,VITREUS,,,11.41,WEB corpus
,PERCINA,VITREUS,,,11.19,WEB corpus
,PERCOPSIS,VITREUS,,,11.41,WEB corpus
,PUNCTATUS,VITTATUS,,,8.98,WEB corpus
,EMILIAE,VOLUCELLUS,,,13.0,WEB corpus
,CHAOBORUS,VOLUME,,,13.99,WEB corpus
,SPICATUM,VULGARIS,,,9.06,WEB corpus
,LAVARETUS,WHITEFISH,,,11.83,WEB corpus
,GASTEROSTEUS,ZOOPLANKTIVORE,,,13.99,WEB corpus
,GADUS,[NUMBER],,,9.87,WEB corpus
,MORHUA,[NUMBER],,,9.87,WEB corpus
,MYKISS,[NUMBER],,,10.81,WEB corpus
,ONCORHYNCHUS,[NUMBER],,,10.81,WEB corpus
,PARR,[NUMBER],,,11.37,WEB corpus
,SALMO,[NUMBER],,,11.35,WEB corpus
,TRUTTA,[NUMBER],,,9.87,WEB corpus
