TAXRANK_target_x,target,source,TAXRANK_source_x,data_source_x_x,relations_x,score.1_x,data_source_y_x,included_x,data_source_x,TAXRANK_target_y,TAXRANK_source_y,data_source_x_y,relations_y,score.1_y,data_source_y_y,included_y,data_source_y,_merge
 SPECIES,TEMPORARIA,RANA, GENUS,VTO ontology,is_a,13.88,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.88,WEB corpus,both,WEB frequency,both
 SPECIES,LUTRA,LUTRA, GENUS,VTO ontology,is_a,13.98,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.98,WEB corpus,both,WEB frequency,both
 SPECIES,MERGANSER,MERGUS, GENUS,VTO ontology,is_a,13.97,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.97,WEB corpus,both,WEB frequency,both
 SPECIES,CRISTATUS,PODICEPS, GENUS,VTO ontology,is_a,13.99,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.99,WEB corpus,both,WEB frequency,both
 SPECIES,CINEREA,ARDEA, GENUS,VTO ontology,is_a,13.93,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.93,WEB corpus,both,WEB frequency,both
 SPECIES,AUSTRALIS,ANGUILLA, GENUS,VTO ontology,is_a,9.23,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,9.23,WEB corpus,both,WEB frequency,both
 SPECIES,MARMORATA,ANGUILLA, GENUS,VTO ontology,is_a,11.72,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,11.72,WEB corpus,both,WEB frequency,both
 SPECIES,ROSTRATA,ANGUILLA, GENUS,VTO ontology,is_a,12.75,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,12.75,WEB corpus,both,WEB frequency,both
 SPECIES,JAPONICA,ANGUILLA, GENUS,VTO ontology,is_a,13.23,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.23,WEB corpus,both,WEB frequency,both
 SPECIES,ANGUILLA,ANGUILLA, GENUS,VTO ontology,is_a,11.93,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,11.93,WEB corpus,both,WEB frequency,both
 SPECIES,DIEFFENBACHII,ANGUILLA, GENUS,VTO ontology,is_a,10.08,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,10.08,WEB corpus,both,WEB frequency,both
 SPECIES,HARENGUS,CLUPEA, GENUS,VTO ontology,is_a,13.97,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.97,WEB corpus,both,WEB frequency,both
 SPECIES,TYRANNUS,BREVOORTIA, GENUS,VTO ontology,is_a,13.99,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.99,WEB corpus,both,WEB frequency,both
 SPECIES,CHRYSOCHLORIS,ALOSA, GENUS,VTO ontology,is_a,10.09,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,10.09,WEB corpus,both,WEB frequency,both
 SPECIES,FALLAX,ALOSA, GENUS,VTO ontology,is_a,12.32,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,12.32,WEB corpus,both,WEB frequency,both
 SPECIES,ALOSA,ALOSA, GENUS,VTO ontology,is_a,9.815,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,9.815,WEB corpus,both,WEB frequency,both
 SPECIES,PSEUDOHARENGUS,ALOSA, GENUS,VTO ontology,is_a,13.2,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.2,WEB corpus,both,WEB frequency,both
 SPECIES,SAPIDISSIMA,ALOSA, GENUS,VTO ontology,is_a,12.4,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,12.4,WEB corpus,both,WEB frequency,both
 SPECIES,CEPEDIANUM,DOROSOMA, GENUS,VTO ontology,is_a,13.67,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.67,WEB corpus,both,WEB frequency,both
 SPECIES,PETENENSE,DOROSOMA, GENUS,VTO ontology,is_a,13,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13,WEB corpus,both,WEB frequency,both
 SPECIES,ENCRASICOLUS,ENGRAULIS, GENUS,VTO ontology,is_a,12.62,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,12.62,WEB corpus,both,WEB frequency,both
 SPECIES,MORDAX,ENGRAULIS, GENUS,VTO ontology,is_a,12.65,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,12.65,WEB corpus,both,WEB frequency,both
 SPECIES,GARIEPINUS,CLARIAS, GENUS,VTO ontology,is_a,13.98,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.98,WEB corpus,both,WEB frequency,both
 SPECIES,GLANIS,SILURUS, GENUS,VTO ontology,is_a,13.92,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.92,WEB corpus,both,WEB frequency,both
 SPECIES,FURCATUS,ICTALURUS, GENUS,VTO ontology,is_a,11.96,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,11.96,WEB corpus,both,WEB frequency,both
 SPECIES,PUNCTATUS,ICTALURUS, GENUS,VTO ontology,is_a,13.77,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.77,WEB corpus,both,WEB frequency,both
 SPECIES,NATALIS,AMEIURUS, GENUS,VTO ontology,is_a,13.25,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.25,WEB corpus,both,WEB frequency,both
 SPECIES,NEBULOSUS,AMEIURUS, GENUS,VTO ontology,is_a,13.47,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.47,WEB corpus,both,WEB frequency,both
 SPECIES,OLIVARIS,PYLODICTIS, GENUS,VTO ontology,is_a,13.99,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.99,WEB corpus,both,WEB frequency,both
 SPECIES,MALABARICUS,HOPLIAS, GENUS,VTO ontology,is_a,13.99,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.99,WEB corpus,both,WEB frequency,both
 SPECIES,CAURINUS,MYLOCHEILUS, GENUS,VTO ontology,is_a,13.99,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.99,WEB corpus,both,WEB frequency,both
 SPECIES,BALTEATUS,RICHARDSONIUS, GENUS,VTO ontology,is_a,13.99,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.99,WEB corpus,both,WEB frequency,both
 SPECIES,LEUCISCUS,LEUCISCUS, GENUS,VTO ontology,is_a,12.98,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,12.98,WEB corpus,both,WEB frequency,both
 SPECIES,GOBIO,GOBIO, GENUS,VTO ontology,is_a,12.68,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,12.68,WEB corpus,both,WEB frequency,both
 SPECIES,BJOERKNA,BLICCA, GENUS,VTO ontology,is_a,13.91,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.91,WEB corpus,both,WEB frequency,both
 SPECIES,ERYTHROPHTHALMUS,SCARDINIUS, GENUS,VTO ontology,is_a,13.94,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.94,WEB corpus,both,WEB frequency,both
 SPECIES,BRAMA,ABRAMIS, GENUS,VTO ontology,is_a,13.93,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.93,WEB corpus,both,WEB frequency,both
 SPECIES,PROMELAS,PIMEPHALES, GENUS,VTO ontology,is_a,13.61,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.61,WEB corpus,both,WEB frequency,both
 SPECIES,NOTATUS,PIMEPHALES, GENUS,VTO ontology,is_a,12.85,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,12.85,WEB corpus,both,WEB frequency,both
 SPECIES,BOCAGEI,LUCIOBARBUS, GENUS,VTO ontology,is_a,13.8,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.8,WEB corpus,both,WEB frequency,both
 SPECIES,TINCA,TINCA, GENUS,VTO ontology,is_a,13.92,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.92,WEB corpus,both,WEB frequency,both
 SPECIES,RUTILUS,RUTILUS, GENUS,VTO ontology,is_a,10.455,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,10.455,WEB corpus,both,WEB frequency,both
 SPECIES,NASUS,CHONDROSTOMA, GENUS,VTO ontology,is_a,13.33,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.33,WEB corpus,both,WEB frequency,both
 SPECIES,MOLITRIX,HYPOPHTHALMICHTHYS, GENUS,VTO ontology,is_a,13.61,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.61,WEB corpus,both,WEB frequency,both
 SPECIES,NOBILIS,HYPOPHTHALMICHTHYS, GENUS,VTO ontology,is_a,12.9,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,12.9,WEB corpus,both,WEB frequency,both
 SPECIES,CARPIO,CYPRINUS, GENUS,VTO ontology,is_a,13.67,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.67,WEB corpus,both,WEB frequency,both
 SPECIES,GIBELIO,CARASSIUS, GENUS,VTO ontology,is_a,11.34,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,11.34,WEB corpus,both,WEB frequency,both
 SPECIES,CARASSIUS,CARASSIUS, GENUS,VTO ontology,is_a,12.63,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,12.63,WEB corpus,both,WEB frequency,both
 SPECIES,AURATUS,CARASSIUS, GENUS,VTO ontology,is_a,13.52,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.52,WEB corpus,both,WEB frequency,both
 SPECIES,PARVA,PSEUDORASBORA, GENUS,VTO ontology,is_a,13.73,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.73,WEB corpus,both,WEB frequency,both
 SPECIES,CAROLITERTII,SQUALIUS, GENUS,VTO ontology,is_a,13.08,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.08,WEB corpus,both,WEB frequency,both
 SPECIES,CEPHALUS,SQUALIUS, GENUS,VTO ontology,is_a,11.83,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,11.83,WEB corpus,both,WEB frequency,both
 SPECIES,CEPHALUS,SQUALIUS, GENUS,VTO ontology,is_a,11.83,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,11.83,WEB corpus,both,WEB frequency,both
 SPECIES,ASPIUS,ASPIUS, GENUS,VTO ontology,is_a,13.66,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.66,WEB corpus,both,WEB frequency,both
 SPECIES,CATARACTAE,RHINICHTHYS, GENUS,VTO ontology,is_a,13.08,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.08,WEB corpus,both,WEB frequency,both
 SPECIES,ATRATULUS,RHINICHTHYS, GENUS,VTO ontology,is_a,13.03,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.03,WEB corpus,both,WEB frequency,both
 SPECIES,OSCULUS,RHINICHTHYS, GENUS,VTO ontology,is_a,12.41,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,12.41,WEB corpus,both,WEB frequency,both
 SPECIES,SPILOPTERA,CYPRINELLA, GENUS,VTO ontology,is_a,13,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13,WEB corpus,both,WEB frequency,both
 SPECIES,LUTRENSIS,CYPRINELLA, GENUS,VTO ontology,is_a,13.15,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.15,WEB corpus,both,WEB frequency,both
 SPECIES,ATROMACULATUS,SEMOTILUS, GENUS,VTO ontology,is_a,13.96,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.96,WEB corpus,both,WEB frequency,both
 SPECIES,PHOXINUS,PHOXINUS, GENUS,VTO ontology,is_a,13.89,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.89,WEB corpus,both,WEB frequency,both
 SPECIES,STRAMINEUS,NOTROPIS, GENUS,VTO ontology,is_a,11.8,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,11.8,WEB corpus,both,WEB frequency,both
 SPECIES,VOLUCELLUS,NOTROPIS, GENUS,VTO ontology,is_a,12.25,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,12.25,WEB corpus,both,WEB frequency,both
 SPECIES,HUDSONIUS,NOTROPIS, GENUS,VTO ontology,is_a,12.79,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,12.79,WEB corpus,both,WEB frequency,both
 SPECIES,CRYSOLEUCAS,NOTEMIGONUS, GENUS,VTO ontology,is_a,13.94,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.94,WEB corpus,both,WEB frequency,both
 SPECIES,PLUMBEUS,COUESIUS, GENUS,VTO ontology,is_a,13.97,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.97,WEB corpus,both,WEB frequency,both
 SPECIES,MARGARITA,MARGARISCUS, GENUS,VTO ontology,is_a,13.99,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.99,WEB corpus,both,WEB frequency,both
 SPECIES,BARBUS,BARBUS, GENUS,VTO ontology,is_a,13.9,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.9,WEB corpus,both,WEB frequency,both
 SPECIES,CORNUTUS,LUXILUS, GENUS,VTO ontology,is_a,13.75,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.75,WEB corpus,both,WEB frequency,both
 SPECIES,ALBURNUS,ALBURNUS, GENUS,VTO ontology,is_a,13.85,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.85,WEB corpus,both,WEB frequency,both
 SPECIES,VIMBA,VIMBA, GENUS,VTO ontology,is_a,13.41,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.41,WEB corpus,both,WEB frequency,both
 SPECIES,OREGONENSIS,PTYCHOCHEILUS, GENUS,VTO ontology,is_a,13.55,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.55,WEB corpus,both,WEB frequency,both
 SPECIES,GRANDIS,PTYCHOCHEILUS, GENUS,VTO ontology,is_a,12.71,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,12.71,WEB corpus,both,WEB frequency,both
 SPECIES,ANGUILLICAUDATUS,MISGURNUS, GENUS,VTO ontology,is_a,13.94,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.94,WEB corpus,both,WEB frequency,both
 SPECIES,CALDERONI,COBITIS, GENUS,VTO ontology,is_a,13.21,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.21,WEB corpus,both,WEB frequency,both
 SPECIES,TAENIA,COBITIS, GENUS,VTO ontology,is_a,13.5,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.5,WEB corpus,both,WEB frequency,both
 SPECIES,BARBATULA,BARBATULA, GENUS,VTO ontology,is_a,13.88,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.88,WEB corpus,both,WEB frequency,both
 SPECIES,MACROLEPIDOTUM,MOXOSTOMA, GENUS,VTO ontology,is_a,13.26,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.26,WEB corpus,both,WEB frequency,both
 SPECIES,CYPRINELLUS,ICTIOBUS, GENUS,VTO ontology,is_a,13.62,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.62,WEB corpus,both,WEB frequency,both
 SPECIES,CATOSTOMUS,CATOSTOMUS, GENUS,VTO ontology,is_a,12.68,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,12.68,WEB corpus,both,WEB frequency,both
 SPECIES,MACROCHEILUS,CATOSTOMUS, GENUS,VTO ontology,is_a,11.48,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,11.48,WEB corpus,both,WEB frequency,both
 SPECIES,COMMERSONII,CATOSTOMUS, GENUS,VTO ontology,is_a,11.57,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,11.57,WEB corpus,both,WEB frequency,both
 SPECIES,JAPONICUS,LATEOLABRAX, GENUS,VTO ontology,is_a,13.99,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.99,WEB corpus,both,WEB frequency,both
 SPECIES,AMBIGUA,MACQUARIA, GENUS,VTO ontology,is_a,12.09,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,12.09,WEB corpus,both,WEB frequency,both
 SPECIES,AUSTRALASICA,MACQUARIA, GENUS,VTO ontology,is_a,13.84,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.84,WEB corpus,both,WEB frequency,both
 SPECIES,AUSTRALIS,NANNOPERCA, GENUS,VTO ontology,is_a,13.62,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.62,WEB corpus,both,WEB frequency,both
 SPECIES,TRUCHA,PERCICHTHYS, GENUS,VTO ontology,is_a,13.99,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.99,WEB corpus,both,WEB frequency,both
 SPECIES,PEELII,MACCULLOCHELLA, GENUS,VTO ontology,is_a,13.67,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.67,WEB corpus,both,WEB frequency,both
 SPECIES,NIGRUM,ETHEOSTOMA, GENUS,VTO ontology,is_a,12.02,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,12.02,WEB corpus,both,WEB frequency,both
 SPECIES,EXILE,ETHEOSTOMA, GENUS,VTO ontology,is_a,12.22,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,12.22,WEB corpus,both,WEB frequency,both
 SPECIES,ZONALE,ETHEOSTOMA, GENUS,VTO ontology,is_a,11.8,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,11.8,WEB corpus,both,WEB frequency,both
 SPECIES,MACULATA,PERCINA, GENUS,VTO ontology,is_a,12.92,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,12.92,WEB corpus,both,WEB frequency,both
 SPECIES,LUCIOPERCA,SANDER, GENUS,VTO ontology,is_a,13.32,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.32,WEB corpus,both,WEB frequency,both
 SPECIES,CANADENSIS,SANDER, GENUS,VTO ontology,is_a,10.23,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,10.23,WEB corpus,both,WEB frequency,both
 SPECIES,VITREUS,SANDER, GENUS,VTO ontology,is_a,12.97,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,12.97,WEB corpus,both,WEB frequency,both
 SPECIES,CERNUUS,GYMNOCEPHALUS, GENUS,VTO ontology,is_a,13.8,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.8,WEB corpus,both,WEB frequency,both
 SPECIES,FLAVESCENS,PERCA, GENUS,VTO ontology,is_a,12.41,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,12.41,WEB corpus,both,WEB frequency,both
 SPECIES,FLUVIATILIS,PERCA, GENUS,VTO ontology,is_a,10.73,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,10.73,WEB corpus,both,WEB frequency,both
 SPECIES,AURATA,SPARUS, GENUS,VTO ontology,is_a,13.96,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.96,WEB corpus,both,WEB frequency,both
 SPECIES,LABRAX,DICENTRARCHUS, GENUS,VTO ontology,is_a,13.99,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.99,WEB corpus,both,WEB frequency,both
 SPECIES,SAXATILIS,MORONE, GENUS,VTO ontology,is_a,13.75,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.75,WEB corpus,both,WEB frequency,both
 SPECIES,CHRYSOPS,MORONE, GENUS,VTO ontology,is_a,12.57,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,12.57,WEB corpus,both,WEB frequency,both
 SPECIES,DOLOMIEU,MICROPTERUS, GENUS,VTO ontology,is_a,13.69,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.69,WEB corpus,both,WEB frequency,both
 SPECIES,PUNCTULATUS,MICROPTERUS, GENUS,VTO ontology,is_a,11.2,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,11.2,WEB corpus,both,WEB frequency,both
 SPECIES,NIGROMACULATUS,POMOXIS, GENUS,VTO ontology,is_a,13.57,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.57,WEB corpus,both,WEB frequency,both
 SPECIES,ANNULARIS,POMOXIS, GENUS,VTO ontology,is_a,13,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13,WEB corpus,both,WEB frequency,both
 SPECIES,CYANELLUS,LEPOMIS, GENUS,VTO ontology,is_a,11.44,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,11.44,WEB corpus,both,WEB frequency,both
 SPECIES,MACROCHIRUS,LEPOMIS, GENUS,VTO ontology,is_a,13.25,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.25,WEB corpus,both,WEB frequency,both
 SPECIES,GIBBOSUS,LEPOMIS, GENUS,VTO ontology,is_a,13.05,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.05,WEB corpus,both,WEB frequency,both
 SPECIES,MICROLOPHUS,LEPOMIS, GENUS,VTO ontology,is_a,9.94,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,9.94,WEB corpus,both,WEB frequency,both
 SPECIES,RUPESTRIS,AMBLOPLITES, GENUS,VTO ontology,is_a,13.96,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.96,WEB corpus,both,WEB frequency,both
 SPECIES,OCELLATUS,SCIAENOPS, GENUS,VTO ontology,is_a,13.88,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.88,WEB corpus,both,WEB frequency,both
 SPECIES,REGALIS,CYNOSCION, GENUS,VTO ontology,is_a,13.99,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.99,WEB corpus,both,WEB frequency,both
 SPECIES,GRUNNIENS,APLODINOTUS, GENUS,VTO ontology,is_a,13.99,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.99,WEB corpus,both,WEB frequency,both
 SPECIES,RENDALLI,TILAPIA, GENUS,VTO ontology,is_a,13.33,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.33,WEB corpus,both,WEB frequency,both
 SPECIES,MINUTUS,POMATOSCHISTUS, GENUS,VTO ontology,is_a,13.94,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.94,WEB corpus,both,WEB frequency,both
 SPECIES,MELANOSTOMUS,NEOGOBIUS, GENUS,VTO ontology,is_a,13.94,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.94,WEB corpus,both,WEB frequency,both
 SPECIES,MARMORATUS,PROTERORHINUS, GENUS,VTO ontology,is_a,13.47,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.47,WEB corpus,both,WEB frequency,both
 SPECIES,ARMATUS,LEPTOCOTTUS, GENUS,VTO ontology,is_a,13.99,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.99,WEB corpus,both,WEB frequency,both
 SPECIES,SCORPIUS,MYOXOCEPHALUS, GENUS,VTO ontology,is_a,13.37,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.37,WEB corpus,both,WEB frequency,both
 SPECIES,THOMPSONII,MYOXOCEPHALUS, GENUS,VTO ontology,is_a,13.11,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.11,WEB corpus,both,WEB frequency,both
 SPECIES,COGNATUS,COTTUS, GENUS,VTO ontology,is_a,12.5,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,12.5,WEB corpus,both,WEB frequency,both
 SPECIES,BAIRDII,COTTUS, GENUS,VTO ontology,is_a,10.79,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,10.79,WEB corpus,both,WEB frequency,both
 SPECIES,ASPER,COTTUS, GENUS,VTO ontology,is_a,11.83,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,11.83,WEB corpus,both,WEB frequency,both
 SPECIES,POECILOPUS,COTTUS, GENUS,VTO ontology,is_a,11.2,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,11.2,WEB corpus,both,WEB frequency,both
 SPECIES,GULOSUS,COTTUS, GENUS,VTO ontology,is_a,9.23,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,9.23,WEB corpus,both,WEB frequency,both
 SPECIES,RICEI,COTTUS, GENUS,VTO ontology,is_a,9.98,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,9.98,WEB corpus,both,WEB frequency,both
